"id","state","pellrecip_2015","pellrecip_2014","pellrecip_2013","pellrecip_2012","pellrecip_2011","pellrecip_2010","pellrecip_2009","pellrecip_2008","pellrecip_2006","pelldisburse_2015","pelldisburse_2014","pelldisburse_2013","pelldisburse_2012","pelldisburse_2011","pelldisburse_2010","pelldisburse_2009","pelldisburse_2008","pelldisburse_2006","seogrecip_2006","seogdisburse_2006","seogrecip_2007","seogdisburse_2007","seogrecip_2008","seogdisburse_2008","seogrecip_2009","seogdisburse_2009","seogrecip_2010","seogdisburse_2010","seogrecip_2011","seogdisburse_2011","seogrecip_2012","seogdisburse_2012","seogrecip_2013","seogdisburse_2013","seogrecip_2014","seogdisburse_2014","teachdisburse_2015","teachrecip_2015","teachdisburse_2014","teachrecip_2014","teachdisburse_2013","teachrecip_2013","teachdisburse_2012","teachrecip_2012","teachdisburse_2011","teachrecip_2011","teachdisburse_2010","teachrecip_2010","teachdisburse_2009","teachrecip_2009","teachdisburse_2008","teachrecip_2008","iraqrecip_2015","iraqdisburse_2015","iraqrecip_2014","iraqdisburse_2014","iraqrecip_2013","iraqdisburse_2013","iraqrecip_2012","iraqdisburse_2012","iraqrecip_2011","iraqdisburse_2011","iraqrecip_2010","iraqdisburse_2010","smartrecip_2010","smartdisburse_2010","smartrecip_2009","smartdisburse_2009","smartrecip_2008","smartdisburse_2008","smartrecip_2006","smartdisburse_2006","workrecip_2006","workdisburse_2006","workrecip_2007","workdisburse_2007","workrecip_2008","workdisburse_2008","workrecip_2009","workdisburse_2009","workrecip_2010","workdisburse_2010","workrecip_2011","workdisburse_2011","workrecip_2012","workdisburse_2012","workrecip_2013","workdisburse_2013","workrecip_2014","workdisburse_2014","fedaidperc_2014","fedaidperc_2013","fedaidperc_2012","fedaidperc_2011","fedaidperc_2010","fedaidperc_2008","fedaidperc_2007","fedaidperc_2006","avepell_2014","avepell_2013","avepell_2012","avepell_2011","avepell_2010","avepell_2008","avepell_2007","avepell_2006","percpell_2014","percpell_2013","percpell_2012","percpell_2011","percpell_2010","percpell_2008","percpell_2007","percpell_2006","statelocalaidperc_2014","avestatelocalaid_2014","statelocalaidperc_2013","avestatelocalaid_2013","statelocalaidperc_2012","avestatelocalaid_2012","statelocalaidperc_2011","avestatelocalaid_2011","statelocalaidperc_2010","avestatelocalaid_2010","statelocalaidperc_2008","avestatelocalaid_2008","statelocalaidperc_2007","avestatelocalaid_2007","statelocalaidperc_2006","avestatelocalaid_2006","acgrecip_2009","acgdisburse_2009","acgrecip_2008","acgdisburse_2008","acgrecip_2006","acgdisburse_2006","anyaidperc_2014","anyaidperc_2013","anyaidperc_2012","anyaidperc_2011","anyaidperc_2010","anyaidperc_2008","anyaidperc_2007","anyaidperc_2006","avefedaid_2014","avefedaid_2013","avefedaid_2012","avefedaid_2011","avefedaid_2010","avefedaid_2008","avefedaid_2007","avefedaid_2006","aveinstaid_2014","aveinstaid_2013","aveinstaid_2012","aveinstaid_2011","aveinstaid_2010","aveinstaid_2008","aveinstaid_2007","aveinstaid_2006","instaidperc_2014","instaidperc_2013","instaidperc_2012","instaidperc_2011","instaidperc_2010","instaidperc_2008","instaidperc_2007","instaidperc_2006","avetotaid_2014","avetotaid_2013","avetotaid_2012","avetotaid_2011","avetotaid_2010","avetotaid_2008","avetotaid_2007","avetotaid_2006"
"1","AK",1031,1152,1297,2875,2542,3592,2179,5536,4789,1447994.77,1492883.22,1809640.29,5220405.79,4229170.08,7806217.66,3881901.22,14955539.99,10805303.33,1608,973832,1375,1123201,0,714928,0,780423,2171,1002080,3168,1175954,3030,1422178,3670,1182135,NA,NA,8403,7,14865.5,12,4955.3,5,5053,4,10500,8,4586,9,6500,7,73500,29,0,0,0,0,0,0,0,0,0,0,13,17000,9500,6,3000,2,292496,82,204327,60,366,953717,270,696713,283,816953,346,950670,396,1174358,382,910846,341,1025713,352,1083985,NA,NA,0.290383576445165,0.459123916608105,0.359375,0.445497630331754,0.448749386954389,0.290383576445165,0.290383576445165,0.290383576445165,922.195569962183,1946.27851955962,1409.94234913793,1849.30281865802,2002.3636586562,922.195569962183,922.195569962183,922.195569962183,0.281739600216099,0.454673225579761,0.355064655172414,0.43926166126216,0.444090240313879,0.281739600216099,0.281739600216099,0.281739600216099,0.133441383036197,396.535656401945,0.281330522370579,1065.65987350668,0.334590517241379,1203.42079741379,0.250436517834872,779.203292591669,0.0434036292300147,114.81020107896,0.133441383036197,396.535656401945,0.133441383036197,396.535656401945,0.133441383036197,396.535656401945,13,7121,142,97570,58,43373,0.472177201512696,0.702974935582104,0.659213362068966,0.675729608381142,0.567925453653752,0.472177201512696,0.472177201512696,0.472177201512696,1039.9981091302,2009.85125322089,1453.38658405172,1920.31603891245,2089.14639529181,1039.9981091302,1039.9981091302,1039.9981091302,566.091842247434,880.655657062544,963.011853448276,571.530057370915,582.638548307994,566.091842247434,566.091842247434,566.091842247434,0.203943814154511,0.276645584446006,0.303071120689655,0.245697181341981,0.193231976459049,0.203943814154511,0.203943814154511,0.203943814154511,2002.62560777958,3956.16678379012,3619.81923491379,3271.04938887503,2786.59514467876,2002.62560777958,2002.62560777958,2002.62560777958
"2","AL",31137,31942,34513,36024,42062,71164,70364,118436,96894,48858296.35,49898694.88,54855570.33,57323168.4,66238179,135516877.71,130488120.55,352831682.48,242960074.93,20780,16450537,21018,16182065,11193542,12234052,8659598,11444664,23504,14436601,24469,14511472,23339,15053911,17703,13575354,NA,NA,64451.5,45,47207,36,60919,42,93791,75,113502,83,544253.13,1207,142000,92,401672,118,0,0,0,0,0,0,0,0,0,0,125,196500,297510,178,432267,201,2642397,834,3109496.53,978,9404,13352234,10250,13417632,8863,14754901,8692,15865861,8697,15129686,8157,14895782,8085,14430493,7751,13780759,NA,NA,0.424002968719303,0.494998678064687,0.511216210352757,0.533946790228197,0.551728438688756,0.424002968719303,0.424002968719303,0.424002968719303,1451.71312566851,2163.62816162862,2164.7014795852,2325.50599316931,2537.78381524518,1451.71312566851,1451.71312566851,1451.71312566851,0.416341053458776,0.487816162862431,0.503514557209181,0.52056820901042,0.539859064169456,0.416341053458776,0.416341053458776,0.416341053458776,0.111894523149462,150.146907947873,0.0644663787785318,108.420441526395,0.0620905106955352,132.568490475984,0.0889730035458679,132.294176510257,0.0974494356330679,169.038476728958,0.111894523149462,150.146907947873,0.111894523149462,150.146907947873,0.111894523149462,150.146907947873,1288,650676.53,5973,4438530.99,3662,2848053.18,0.68234703455502,0.781814576540055,0.772703605675359,0.790445735169353,0.789282225040015,0.68234703455502,0.68234703455502,0.68234703455502,1620.40612516644,2256.13239182163,2307.40031240509,2436.67286649699,2715.93801317896,1620.40612516644,1620.40612516644,1620.40612516644,1830.66992643688,3608.46882435886,3124.5017572786,2837.19165089517,2420.65668197975,1830.66992643688,1830.66992643688,1830.66992643688,0.357512387854445,0.457059134573015,0.420401787651321,0.414714263960495,0.386451036231733,0.357512387854445,0.357512387854445,0.357512387854445,3601.2229595512,5973.02165770688,5564.47056015967,5406.15869390241,5305.63317188767,3601.2229595512,3601.2229595512,3601.2229595512
"3","AR",7517,8188,9292,9745,10083,19835,18861,62925,57041,11452820.4,12552913.35,14322925.67,14130297.16,14522009.92,31256826.91,29103176.58,190387562.97,144626381.03,10307,6167010,9720,5890989,5467119,5023600,4823212,5068113,8734,5474252,9398,5222336,9833,5427784,10273,5188262,NA,NA,396213,306,456309,306,428050.2,256,327689,194,375939,221,991071.5,1645,171760,105,983963,305,0,0,1,5311.71,1,5238.56,1,4995,0,0,148,280463,88899,66,75000,42,1238680,393,1486899,487,6385,8167422,5941,8357153,5677,8340661,6006,9485725,5321,8127142,5577,8319059,5418,8288023,5583,8410350,NA,NA,0.466119966119966,0.540503889800871,0.549095054866752,0.567304675243175,0.572673006177553,0.466119966119966,0.466119966119966,0.466119966119966,1571.04516054516,2342.08743130398,2296.63916203506,2361.10197678067,2479.02019851461,1571.04516054516,1571.04516054516,1571.04516054516,0.455262955262955,0.535079580329741,0.54257517457603,0.559530035212495,0.565766641216076,0.455262955262955,0.455262955262955,0.455262955262955,0.182413182413182,497.225456225456,0.471772179002213,1054.33280993505,0.476628188684623,1849.78423827847,0.439598368371509,1702.02266150682,0.448740195738183,1848.31144582495,0.182413182413182,497.225456225456,0.182413182413182,497.225456225456,0.182413182413182,497.225456225456,629,417062,5083,3861227.8,4059,3063283.19,0.755563255563256,0.862607950895725,0.866930312099188,0.873165289544329,0.8728048865135,0.755563255563256,0.755563255563256,0.755563255563256,1742.82936782937,2409.59902933409,2365.07239561066,2437.50064498135,2683.05525091969,1742.82936782937,1742.82936782937,1742.82936782937,2313.38865788866,2767.10291913497,2422.1274761294,2227.94230031726,2130.38332060804,2313.38865788866,2313.38865788866,2313.38865788866,0.394586894586895,0.458461209050032,0.394613082513895,0.378516891538542,0.362601513153328,0.394586894586895,0.394586894586895,0.394586894586895,4553.44348194348,6231.03475840411,6636.98411001853,6367.46560680542,6661.75001735268,4553.44348194348,4553.44348194348,4553.44348194348
"4","AZ",79084,98904,112610,123640,160634,234039,218821,383325,227249,168007449.34,213325838.02,233670729.69,259521160.33,341397058.47,523604126.94,484063632.93,1067996227.35,515292289.83,33763,23834050,31649,24385206,4534679,17853034,5178061,17984245,49468,27494137,56459,25821076,57348,28885128,49380,25037330,NA,NA,3276645.25,1513,1954343.99,908,2255498.55,1042,1421157,888,2287762.5,910,681583.25,1230,953746,573,2504540,901,3,6429.3,0,0,1,605,1,2497,0,0,789,1844610.41,7338566.43,2742,3430781.59,1499,7629323.07,2521,7574373.64,2395,5387,10485999,5369,10719600,5691,12185978,5724,12945736,6066,14069962,6449,14857854,6287,14752552,6066,14717957,NA,NA,0.421428816290151,0.55464138545495,0.513239725588254,0.546212776473496,0.558939926186135,0.421428816290151,0.421428816290151,0.421428816290151,1517.80646875321,2465.56236774697,2084.62688337501,2289.77655072285,2342.97551395497,1517.80646875321,1517.80646875321,1517.80646875321,0.406705289499846,0.552762000222742,0.505097134064243,0.543170023477079,0.554419197533609,0.406705289499846,0.406705289499846,0.406705289499846,0.029772719481677,59.2015871927599,0.0208681367635594,84.0651381000111,0.0239949990382766,91.3619766621786,0.0252687507722723,104.783084146794,0.0258496746557576,91.0044317962856,0.029772719481677,59.2015871927599,0.029772719481677,59.2015871927599,0.029772719481677,59.2015871927599,1543,839307.86,3896,2899797.27,1436,1104663,0.615937060779541,0.753187994208709,0.716259537090466,0.728762510811813,0.719833400032609,0.615937060779541,0.615937060779541,0.615937060779541,1626.43810633849,2523.87257768126,2154.09835224723,2356.58630915606,2469.03658084693,1626.43810633849,1626.43810633849,1626.43810633849,1425.48774467793,2265.21115937187,2288.70912675515,1997.73367416286,1784.50344612922,1425.48774467793,1425.48774467793,1425.48774467793,0.291333858969525,0.371881612651743,0.363755850484067,0.330872358828617,0.296648731972668,0.291333858969525,0.291333858969525,0.291333858969525,3111.12743820918,4873.14887515314,4534.16945566455,4459.10306746571,4344.54445877244,3111.12743820918,3111.12743820918,3111.12743820918
"5","CA",319298,327699,308770,309524,316642,372169,329308,689441,558176,498197173.35,482620374.04,474217758.38,525889612.96,521436591.9,609595829.63,519936897.97,2060159152.2,1405797455.35,158706,105012791,175008,105805226,86797804,75179592,70876229,77517768,199091,99832112,210997,97377688,210107,102584507,200555,99847920,NA,NA,2126326.2,1041,1775655.5,917,1904636.2,1304,1720730.77,1218,1949809.05,1383,8172663.88,18496,2199133.4,1439,838648.5,251,0,0,1,1770.57,0,0,0,0,0,0,1659,1757978.77,9716011.92,6044,10063614.18,6192,24116829.75,7977,22581889.94,7031,59797,117686589,58236,117128799,59061,123119694,63225,137245417,63935,135025766,63248,132242665,62856,132025836,59943,125691692,NA,NA,0.433879467733488,0.509690806062918,0.515700683458737,0.545484784521215,0.533174682625406,0.433879467733488,0.433879467733488,0.433879467733488,1529.98578788049,2208.71364900952,2155.61528852629,2221.59356377009,2285.43991031259,1529.98578788049,1529.98578788049,1529.98578788049,0.42282461066841,0.50582316798948,0.508465975075389,0.540091208938103,0.520432864699047,0.42282461066841,0.42282461066841,0.42282461066841,0.272847247086116,556.575808327243,0.379251843098577,1338.23273442322,0.351289983637328,1267.3266451317,0.323309883455246,1116.3045644882,0.305341142929067,829.15860972804,0.272847247086116,556.575808327243,0.272847247086116,556.575808327243,0.272847247086116,556.575808327243,15918,7429239.09,45244,34250638.03,29617,23496155.68,0.587670993723942,0.678548720763975,0.67673149928271,0.686000640389954,0.66394735840717,0.587670993723942,0.587670993723942,0.587670993723942,1723.22760400176,2285.71639078342,2238.71523420091,2299.8987531048,2459.10518366307,1723.22760400176,1723.22760400176,1723.22760400176,1492.21139159227,2455.71828273148,2394.08691409109,2085.87105157626,1821.21642356812,1492.21139159227,1492.21139159227,1492.21139159227,0.189483090743924,0.277412311309197,0.278201212073896,0.236142241178318,0.21916043918731,0.189483090743924,0.189483090743924,0.189483090743924,3772.01480392128,6079.66740793812,5900.1287934237,5502.07436916927,5109.48021695923,3772.01480392128,3772.01480392128,3772.01480392128
"6","CO",32161,34090,37383,38029,42033,63934,54902,99493,82223,47385771.81,48750180.51,53450281.73,54236085.68,58138459.89,106586819.61,89484958.97,268017948.11,183494909.87,15205,13958419,17597,16512105,11630359,11292930,12412823,12187406,19263,13876789,16756,13180905,16873,14439717,16789,14868119,NA,NA,50573,36,78074.7,62,162400.15,98,171184,105,255780,155,376950.5,726,382811,195,566987,163,0,0,1,2658,0,0,1,2497.5,1,5550,192,337680,983607,628,759078,428,3792493.39,1239,4344227.5,1348,7131,13315474,6779,13666386,7281,14814479,7669,15715676,7448,14970107,7437,14793963,7020,14376017,7262,14541291,NA,NA,0.359776215750968,0.416236701520479,0.424202067626744,0.43282902722386,0.464438502673797,0.359776215750968,0.359776215750968,0.359776215750968,1186.56964567494,1743.95459111456,1773.44950566566,1831.47923530432,1904.64138214726,1186.56964567494,1186.56964567494,1186.56964567494,0.353894706641802,0.412698050317337,0.417362647284547,0.428190567019247,0.454751131221719,0.353894706641802,0.353894706641802,0.353894706641802,0.170543271102732,326.048507080353,0.170745628053514,390.557371809506,0.199313800731344,402.846169473161,0.198673487081672,327.080327726721,0.220423693953106,327.620588235294,0.170543271102732,326.048507080353,0.170543271102732,326.048507080353,0.170543271102732,326.048507080353,530,264405.5,4285,3238070,2910,2309696,0.608521015636207,0.640199077667686,0.627736896754097,0.632499566499046,0.638379267791032,0.608521015636207,0.608521015636207,0.608521015636207,1341.96442404246,1847.80567097393,1863.08236648458,1923.3838650945,2083.73169477581,1341.96442404246,1341.96442404246,1341.96442404246,1466.09451400701,2406.37888680882,2097.2534874272,1986.11797728455,1554.24278074866,1466.09451400701,1466.09451400701,1466.09451400701,0.335327991474886,0.349824208940231,0.324071148029434,0.316650771631698,0.283710407239819,0.335327991474886,0.335327991474886,0.335327991474886,3134.10744512982,4644.74192959226,4363.18202338495,4236.58217010577,3965.59506375977,3134.10744512982,3134.10744512982,3134.10744512982
"7","CT",13871,14326,14865,14842,14937,19039,14674,48035,39363,23218503.63,23899282.85,25371400.76,25121647.5,25183373.45,30873630.85,23339855.96,128838513.44,87087972.17,14248,13028283,15655,13398756,11837061,8624923,9643107,8853839,16198,13040033,16300,12470602,16742,13159759,18034,12751676,NA,NA,20011,17,15009,11,12327,13,20652,14,36115,20,460584.75,630,44000,23,43000,13,0,0,0,0,0,0,0,0,0,0,24,54833,274000,94,42500,37,1034145,329,976732,289,9375,13508767,9226,13517494,9438,14020521,10721,16282621,10280,15484054,9849,15174955,9052,14079052,8263,13365425,NA,NA,0.338407874100914,0.427503260397044,0.421292351091652,0.423858742463394,0.41699562573349,0.338407874100914,0.338407874100914,0.338407874100914,1062.93640149262,1778.43240110129,1669.06026857865,1687.63161068045,1734.07673637043,1062.93640149262,1062.93640149262,1062.93640149262,0.322697528527392,0.425532531517171,0.418706473509447,0.419695664656905,0.405686546463245,0.322697528527392,0.322697528527392,0.322697528527392,0.175355578389487,519.7476339841,0.118475583248805,319.887465584698,0.134201169521906,316.10252416914,0.151019236290554,383.894889463106,0.166595540381948,469.681852128454,0.175355578389487,519.7476339841,0.175355578389487,519.7476339841,0.175355578389487,519.7476339841,375,329416,3625,2970069.7,1864,1554045.98,0.581796549672814,0.730097087378641,0.701389909200435,0.69342520815389,0.663581564067001,0.581796549672814,0.581796549672814,0.581796549672814,1217.57811908496,1867.43657440951,1772.44797390614,1786.65592879701,1901.93457270884,1217.57811908496,1217.57811908496,1217.57811908496,3689.38821588881,6229.62767714824,5605.49969145779,5197.88610393339,4674.22794196095,3689.38821588881,3689.38821588881,3689.38821588881,0.333946244118761,0.464338501666425,0.413740413152714,0.401435544071203,0.373012909420676,0.333946244118761,0.333946244118761,0.333946244118761,5426.71396895787,8416.95171714244,7694.05018953307,7368.43692219351,7045.84436679825,5426.71396895787,5426.71396895787,5426.71396895787
"8","DC",17247,16595,15715,18397,20508,25556,24193,28565,19184,23647567.26,22036196.86,20635933.13,23855115.52,26543042.42,43344015.37,46119860.62,72017112.21,44385414.22,9490,10823828,8161,10566111,9489374,4755636,8016060,6733382,21426,11102476,11971,9569320,9352,9365609,9179,8880402,NA,NA,9300,4,39479,16,11320.4,4,3716,1,36000,14,59639.5,86,47883,18,52960,16,0,0,0,0,0,0,0,0,0,0,11,25108,1132980,600,1323287,546,566607,163,479733,133,5238,10324671,4767,10448402,5368,11167201,6738,14753665,5742,12492488,5521,10630311,5186,9611778,5027,8841847,NA,NA,0.242154758254114,0.358810423326552,0.298150051387461,0.339505534291921,0.319420349015206,0.242154758254114,0.242154758254114,0.242154758254114,724.319533885311,1668.80034873583,1338.92045220966,1428.62211647874,1217.72078783549,724.319533885311,724.319533885311,724.319533885311,0.223551057957682,0.351351351351351,0.292702980472765,0.333609185890142,0.304827023165629,0.223551057957682,0.223551057957682,0.223551057957682,0.0584687723602167,221.908821424921,0.0493073718880171,237.975104136394,0.0665981500513875,299.333299075026,0.0560670321713044,235.304851556843,0.0613327890601082,215.986733340137,0.0584687723602167,221.908821424921,0.0584687723602167,221.908821424921,0.0584687723602167,221.908821424921,49,33296.25,1160,1017721.01,1063,957341,0.630788101809261,0.725758016080597,0.691264131551901,0.729388641770973,0.731707317073171,0.630788101809261,0.630788101809261,0.630788101809261,958.170602064806,1798.20594788337,1532.92302158273,1579.29419675184,1487.69476477192,958.170602064806,958.170602064806,958.170602064806,9229.48860267812,12630.7825244599,12203.9830421377,11606.3605048102,11839.6633329932,9229.48860267812,9229.48860267812,9229.48860267812,0.510579576816927,0.55729923471859,0.562692702980473,0.580428261094445,0.594244310643943,0.510579576816927,0.510579576816927,0.510579576816927,10409.5680261678,14666.9635764797,14036.2393627955,13420.9595531189,13543.3448311052,10409.5680261678,10409.5680261678,10409.5680261678
"9","DE",3222,3438,3609,3627,3871,5073,4649,10981,9133,4467166.87,4586177.69,5084786.58,4945510.28,5493264.57,7771712.26,7191589.43,29974001.6,20359778.46,3660,1993026,4049,2121094,1419050,1439563,2231466,1486646,4006,2201781,3953,2067385,3039,2159745,3340,1965979,NA,NA,58706,40,56503,44,92910,58,74761,45,99500,58,91496.5,134,86000,45,8000,4,0,0,0,0,0,0,0,0,0,0,48,76000,141500,45,7500,3,166895,54,181813,53,1016,1374375,1172,1512935,1321,1806118,1410,1943577,1138,1650012,1085,1633959,1181,1844078,1016,1622747,NA,NA,0.310354942798475,0.413258512459578,0.399947707861252,0.422889214250854,0.436635449780909,0.310354942798475,0.310354942798475,0.310354942798475,1000.37391219321,1604.2204679475,1525.93376329092,1595.70538474052,1587.3658389896,1000.37391219321,1000.37391219321,1000.37391219321,0.306052605847267,0.412307399657599,0.399337632909186,0.42061168049455,0.429590170976888,0.306052605847267,0.306052605847267,0.306052605847267,0.198200840911313,520.063361689645,0.209149705155031,969.931424766977,0.198448666550462,833.354279240021,0.162192939645355,610.685781682121,0.164103445313171,591.444024400722,0.198200840911313,520.063361689645,0.198200840911313,520.063361689645,0.198200840911313,520.063361689645,193,98380.32,696,495312,220,171879,0.604576122029921,0.776393380254898,0.735576085061879,0.735968765251342,0.687086519460435,0.604576122029921,0.604576122029921,0.604576122029921,1081.57895766109,1653.22503328895,1577.32238103538,1635.86277859118,1663.96125096658,1081.57895766109,1081.57895766109,1081.57895766109,1246.1651510707,2699.01692980788,2335.95886351752,2052.39311859444,1251.34264112037,1246.1651510707,1246.1651510707,1246.1651510707,0.231152830742153,0.359235305307209,0.326477252919644,0.306734992679356,0.23996906950769,0.231152830742153,0.231152830742153,0.231152830742153,2847.80747042143,5322.1733878638,4746.63552379292,4298.94167886774,3506.74791648767,2847.80747042143,2847.80747042143,2847.80747042143
"10","FL",155182,167162,186738,190300,212011,297196,260610,377041,289300,249987069.87,262318243.04,289908628.36,292151129.58,326060448.96,496936050.59,422786708.3,1061933616.12,672312676.59,75395,46428287,77486,45959475,17285204,34588296,12823054,35232762,94435,46352631,97221,45508796,94529,47476440,88067,44400646,NA,NA,181996.7,131,198136.15,132,202404.24,137,178615,110,197500,125,3663194.26,8403,455015,235,1199274.41,390,1,5382.3,0,0,2,2704.5,0,0,0,0,211,363240,2980397.29,2078,2597171.1,1718,7918152.91,2642,8110986.72,2577,19684,35913937,19070,37175080,19548,46528513,21911,44316531,21558,42445235,21120,42247428,21084,42782985,18469,40664942,NA,NA,0.44255338670092,0.575100991553434,0.575731886809135,0.58953507681624,0.587350113092963,0.44255338670092,0.44255338670092,0.44255338670092,1501.99363488313,2446.98884772418,2409.09571087546,2443.48129790007,2547.37979095876,1501.99363488313,1501.99363488313,1501.99363488313,0.431130582379522,0.566530211056145,0.57064027418776,0.581498684084722,0.574672340249734,0.431130582379522,0.431130582379522,0.431130582379522,0.363815170768631,1066.66107186274,0.309196172042082,725.586852735953,0.308497636222741,697.690909469151,0.33288882402967,765.949587612784,0.352132241306301,922.532234076614,0.363815170768631,1066.66107186274,0.363815170768631,1066.66107186274,0.363815170768631,1066.66107186274,6765,3012863,23881,17807603.62,15749,11961251.13,0.721529004289286,0.78654598086021,0.77981765889836,0.795346239199682,0.806827923117441,0.721529004289286,0.721529004289286,0.721529004289286,1651.21714223456,2523.55387656348,2476.00012481992,2503.87532772077,2724.03551842021,1651.21714223456,1651.21714223456,1651.21714223456,1015.04062779549,1578.25151757361,1369.42460616714,1223.34319976248,1079.77182590913,1015.04062779549,1015.04062779549,1015.04062779549,0.206034818909558,0.264516860728867,0.249187370304301,0.230106531267455,0.223226919223738,0.206034818909558,0.206034818909558,0.206034818909558,3732.91884189279,4827.39224687304,4543.11564045622,4493.16811509604,4726.33957840596,3732.91884189279,3732.91884189279,3732.91884189279
