"id","state","dlsubrecip_2006","dlsubdisburse_2006","dlsubrecip_2008","dlsubdisburse_2008","dlsubrecip_2009","dlsubdisburse_2009","dlsubrecip_2010","dlsubdisburse_2010","dlsubrecip_2011","dlsubdisburse_2011","dlsubrecip_2012","dlsubdisburse_2012","dlsubrecip_2013","dlsubdisburse_2013","dlsubrecip_2014","dlsubdisburse_2014","dlsubrecip_2015","dlsubdisburse_2015","dlsubrecip_2007","dlsubdisburse_2007","dlunsubrecip_2006","dlunsubdisburse_2006","dlunsubrecip_2008","dlunsubdisburse_2008","dlunsubrecip_2009","dlunsubdisburse_2009","dlunsubrecip_2010","dlunsubdisburse_2010","dlunsubgradrecip_2010","dlunsubrecip_2011","dlunsubdisburse_2011","dlunsubgradrecip_2011","dlunsubrecip_2012","dlunsubdisburse_2012","dlunsubgradrecip_2012","dlunsubrecip_2013","dlunsubdisburse_2013","dlunsubgradrecip_2013","dlunsubrecip_2014","dlunsubdisburse_2014","dlunsubgradrecip_2014","dlunsubrecip_2015","dlunsubdisburse_2015","dlunsubgradrecip_2015","dlunsubrecip_2007","dlunsubdisburse_2007","flparentrecip_2006","flparentdisburse_2006","flparentrecip_2008","flparentdisburse_2008","flparentrecip_2009","flparentdisburse_2009","flparentrecip_2007","flparentdisburse_2007","flgradrecip_2006","flgraddisburse_2006","flgradrecip_2008","flgraddisburse_2008","flgradrecip_2009","flgraddisburse_2009","flgradrecip_2007","flgraddisburse_2007","fedloanperc_2014","fedloanperc_2013","fedloanperc_2012","fedloanperc_2011","fedloanperc_2010","fedloanperc_2008","fedloanperc_2007","fedloanperc_2006","flsubrecip_2006","flsubdisburse_2006","flsubrecip_2008","flsubdisburse_2008","flsubrecip_2009","flsubdisburse_2009","flsubrecip_2007","flsubdisburse_2007","flunsubrecip_2006","flunsubdisburse_2006","flunsubrecip_2008","flunsubdisburse_2008","flunsubrecip_2009","flunsubdisburse_2009","flunsubrecip_2007","flunsubdisburse_2007","dlgradrecip_2006","dlgraddisburse_2006","dlgradrecip_2008","dlgraddisburse_2008","dlgradrecip_2009","dlgraddisburse_2009","dlgradrecip_2010","dlgraddisburse_2010","dlgradrecip_2011","dlgraddisburse_2011","dlgradrecip_2012","dlgraddisburse_2012","dlgradrecip_2013","dlgraddisburse_2013","dlgradrecip_2014","dlgraddisburse_2014","dlgradrecip_2015","dlgraddisburse_2015","dlgradrecip_2007","dlgraddisburse_2007","dlparentrecip_2006","dlparentdisburse_2006","dlparentrecip_2008","dlparentdisburse_2008","dlparentrecip_2009","dlparentdisburse_2009","dlparentrecip_2010","dlparentdisburse_2010","dlparentrecip_2011","dlparentdisburse_2011","dlparentrecip_2012","dlparentdisburse_2012","dlparentrecip_2013","dlparentdisburse_2013","dlparentrecip_2014","dlparentdisburse_2014","dlparentrecip_2015","dlparentdisburse_2015","dlparentrecip_2007","dlparentdisburse_2007","perkrecip_2006","perkrecip_2007","perkrecip_2008","perkrecip_2009","perkrecip_2010","perkrecip_2011","perkrecip_2012","perkrecip_2013","perkrecip_2014","cdr3_2014","cdr3_2013","cdr3_2012","cdr3_2011","cdr3_2010","cdr3_2009","cdr3_2008","cdr3_2007","cdr3_2006","perkdisburse_2006","perkdisburse_2007","perkdisburse_2008","perkdisburse_2009","perkdisburse_2010","perkdisburse_2011","perkdisburse_2012","perkdisburse_2013","perkdisburse_2014","avefedloan_2014","avefedloan_2013","avefedloan_2012","avefedloan_2011","avefedloan_2010","avefedloan_2008","avefedloan_2007","avefedloan_2006","aveotherloan_2014","aveotherloan_2013","aveotherloan_2012","aveotherloan_2011","aveotherloan_2010","aveotherloan_2008","aveotherloan_2007","aveotherloan_2006","otherloanperc_2014","otherloanperc_2013","otherloanperc_2012","otherloanperc_2011","otherloanperc_2010","otherloanperc_2008","otherloanperc_2007","otherloanperc_2006"
"1","AK",NA,NA,0,0,2618,9109570,12702,47237833,12992,48132471,10890,38987689,7191,26364753,6525,23633037,5979,21597303,NA,NA,NA,NA,1,4000,2610,12737754,11813,61438311,732,12184,62713874,735,11541,62769883,841,7975,44998381,780,7233,40332451,718,6501,36260854,653,NA,NA,144,857531,162,1235935,292,2547936,170,1205844,2,11664,11,72931,26,198972,8,52880,0.418692598595354,0.443429374560787,0.346443965517241,0.455475180843103,0.398970083374203,0.418692598595354,0.418692598595354,0.418692598595354,6629,22732342,8072,31877850,7411,29450373,7126,28452715,5718,23590374,8169,41825756,7951,42533521,6256,28572807,NA,NA,0,0,7,36051,107,455525,99,450420,101,578803,103,713829,102,812122,132,1044564,NA,NA,NA,NA,0,0,93,640856,746,6675212,846,7911777,588,5746917,470,4871694,306,3236831,275,3382782,NA,NA,0,0,0,0,0,0,0,0,NA,0.139625,0.139625,0.139625,0.139625,0.139625,0.139625,0.139625,0.139625,NA,0,0,0,0,0,0,0,0,NA,2653.58887088061,3168.31904427266,1755.74057112069,3133.63332501871,2438.99632172634,2653.58887088061,2653.58887088061,2653.58887088061,1285.20124257158,156.294448348559,107.967403017241,128.860064854078,291.198381559588,1285.20124257158,1285.20124257158,1285.20124257158,0.22312263641275,0.0267041461700632,0.0148168103448276,0.017959590920429,0.0478175576262874,0.22312263641275,0.22312263641275,0.22312263641275
"2","AL",27174,104903880,47629,186523326,72266,292811430,170349,628211411,174081,640902765,127008,458964769,120453,438420992,116088,423057949,110107,402543664,32969,134504138,21226,103295724,47742,247961051,72983,367734579,146460,766467228,22701,149381,790072694,23450,151446,952028037,25641,145637,935875542,25855,141438,929767413,25867,137181,896181661,25691,26997,136085761,5696,56361078,4771,46712645,3667,34991433,5870,57614934,445,3234549,1073,16693283,1199,20033603,908,12660058,0.388465652354238,0.424958138715079,0.434872217642209,0.428941243011595,0.410065063296402,0.388465652354238,0.388465652354238,0.388465652354238,69458,276097957,77291,344710317,72098,317601797,73757,319994212,57449,282227663,74080,422968728,70360,403550873,59410,313910396,181,1740648,563,6065859,980,11551726,2604,40123237,2703,44865848,2924,48701407,3637,57363558,4393,70591646,5161,85359172,330,3316275,2455,22258201,3372,33195875,6456,72268013,12597,130498177,12407,147878433,9254,133217417,10529,154704628,11725,175488704,16725,234419118,2482,24847374,6684,6426,0,0,3510,3803,3702,3917,NA,0.13336231884058,0.13336231884058,0.13336231884058,0.13336231884058,0.13336231884058,0.13336231884058,0.13336231884058,0.13336231884058,NA,16238850,14760595,0,0,8774791,9935422,9674495,10671429,NA,2300.8340791513,2641.92746981581,2658.79702347377,2846.28997802867,2695.95069324631,2300.8340791513,2300.8340791513,2300.8340791513,333.744144419463,420.3548515026,378.144509046731,262.236898779612,318.691687280437,333.744144419463,333.744144419463,333.744144419463,0.0589378096963611,0.0321230281131577,0.032108300429557,0.0242989840979791,0.0582659488224167,0.0589378096963611,0.0589378096963611,0.0589378096963611
"3","AR",1111,2967795,2025,6179981,12354,34749816,77666,300976620,82683,315324522,66784,235717720,63615,226800716,59395,212525533,54369,194696474,1409,4352044,608,1984771,1747,6475759,11334,37124104,68620,333822540,8364,73202,356170412,8841,71588,407292210,10588,69108,396710557,10687,64308,385996773,10676,61918,376158027,11273,809,2599704,4561,36944401,3641,30089563,3160,27575218,4240,34568663,419,2846890,844,6695076,539,4512852,633,5002968,0.447639947639948,0.459103561487403,0.441819866039618,0.479970714360423,0.439959741792184,0.447639947639948,0.447639947639948,0.447639947639948,55186,201553372,60877,249578976,62409,253571413,56079,225299601,43052,189095166,53528,271562479,57636,286564522,42338,192749035,0,0,0,0,456,2516287,1160,10407168,1245,12050353,1478,14342269,1588,17605164,1700,20478033,1838,21951069,0,0,70,372725,112,546043,513,2181554,4282,34554637,4232,36721853,3354,32041509,3906,39431231,4403,46088036,6043,61787297,102,525993,4490,3760,0,0,2100,2220,2288,2870,NA,0.149702702702703,0.149702702702703,0.149702702702703,0.149702702702703,0.149702702702703,0.149702702702703,0.149702702702703,0.149702702702703,NA,9637674,8550736,0,0,4962975,5499417,5708270,7858839,NA,2340.27492877493,2691.91196202983,2453.19178423828,2681.48363141931,2400.61477059763,2340.27492877493,2340.27492877493,2340.27492877493,123.572803572804,168.580044250946,148.011899672225,120.393508349894,81.9667869785521,123.572803572804,123.572803572804,123.572803572804,0.0232540232540233,0.0196631218328456,0.0195596408721676,0.0163511487640763,0.0120080516415631,0.0232540232540233,0.0232540232540233,0.0232540232540233
"4","AZ",30401,129791258,45396,195435513,270173,1041156924,637864,2506705691,588819,2307824343,417620,1528978677,368044,1335569495,320780,1160299592,260117,954633133,32204,146526042,24464,122734026,42738,228183318,269660,1340903521,552537,3084063542,82230,509539,2842705281,78154,463893,3098044569,84295,416547,2821661364,80953,364284,2415995337,69572,307689,2066938362,64441,25271,135177235,18597,211209992,13324,131770755,9760,97799126,17316,188541376,1221,13901890,2568,37814914,1829,33881540,2171,26500461,0.477631894689932,0.553096113152912,0.495351670192986,0.523446188063759,0.541331317533016,0.477631894689932,0.477631894689932,0.477631894689932,327489,1325513039,507287,2118626739,440049,1714231212,398673,1731095514,302757,1605466968,487708,3125075032,407005,2261398415,369508,2192695809,13,79527,2111,24761780,4037,47868135,6469,92739199,6209,101662302,6151,108974907,6928,121642981,6355,102790282,7330,114032181,15,98373,1790,15870700,6139,73199474,13619,138969872,26437,293460508,23115,283428607,18211,239231255,18094,242966376,19364,274341285,23570,334819626,1752,16377728,4099,2905,0,0,2120,1981,2387,2708,NA,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,NA,11041729,7319496,0,0,5474713,5766636,7031150,8097645,NA,3327.51945425251,3854.29898930839,3136.42548246458,3328.4434542197,3475.19427275557,3327.51945425251,3327.51945425251,3327.51945425251,266.810119639368,284.43806381557,318.318891453485,231.666826269616,168.941541790801,266.810119639368,266.810119639368,266.810119639368,0.0399540639676391,0.037016928388462,0.0429569789061999,0.0350920548622266,0.0250048171698756,0.0399540639676391,0.0399540639676391,0.0399540639676391
"5","CA",131049,542153366,173742,773503081,340403,1564503924,835080,3777430683,832745,3771712293,598719,2361210072,558876,2213562688,520107,2032422805,476570,1883039897,139781,611901521,70952,352221190,125974,696790154,283628,1705528661,680648,4284003111,138910,680476,4194174102,136259,644351,5032152267,143663,608569,4863984110,139312,572578,4553690319,138905,534436,4368166240,137220,77674,405917451,40820,572128805,36471,513128473,29997,434896490,38452,539500517,17787,337462155,25351,538306789,24623,554157787,22387,438895334,0.366363762794015,0.338457100853238,0.376927005565911,0.419110355354251,0.412105458813749,0.366363762794015,0.366363762794015,0.366363762794015,323808,1491261736,384029,1847131918,343982,1613072787,349106,1702869100,228744,1480542286,327597,2206048622,308080,1950813006,250309,1719799401,2130,31149410,5267,85387228,16823,275039541,48648,1095500753,48455,1133705280,47098,1139810031,47313,1218684426,48185,1201118238,50147,1291059344,3164,43271638,19972,224180682,21226,252912372,36033,431442429,71849,982695530,68806,996147913,58532,904874946,57767,915241802,57681,920598433,62113,973644440,19755,226805112,61492,51006,0,0,38792,42199,41915,46140,NA,0.122010204081633,0.122010204081633,0.122010204081633,0.122010204081633,0.122010204081633,0.122010204081633,0.122010204081633,0.122010204081633,NA,148643955,115238566,0,0,80508459,89960647,93871226,107416364,NA,2176.46324763057,2162.1616002779,2346.89108575927,2518.4734129365,2609.99969557798,2176.46324763057,2176.46324763057,2176.46324763057,278.81645268101,298.237907815606,337.367587595598,279.041311369409,219.542623473865,278.81645268101,278.81645268101,278.81645268101,0.0459267763669881,0.0446995989690434,0.0608704421174534,0.0586143329219501,0.0417965582748638,0.0459267763669881,0.0459267763669881,0.0459267763669881
"6","CO",19032,81655253,40449,181233456,108676,428283112,213812,817948934,210198,810551347,150577,544632350,140380,505930261,129720,466237085,118724,430375385,20335,90920378,16265,78562336,37501,223759466,105018,547484600,184999,1020271510,26719,180504,1001117980,27207,172338,1162114079,30510,157016,1093444415,30020,149195,1040526594,28816,141107,1002523646,28014,16288,87316643,9350,94503156,7485,73711936,5472,57322521,8524,88465699,1865,26763883,2105,39746187,2213,44872447,2477,38775542,0.506854929606328,0.511894434044108,0.522685206085504,0.551694988728975,0.566248457424928,0.506854929606328,0.506854929606328,0.506854929606328,103494,407370411,110356,464610547,78647,340297189,112746,473772221,90061,422903165,107412,605623541,78993,463427396,95687,487833802,504,4770746,1657,17221464,2856,33135145,6148,93220505,6634,101838334,6305,103648963,6827,117909155,7140,131466575,7647,140484681,611,5740693,6395,79591867,6832,93179322,10406,124275888,17020,203897878,16595,214025634,14584,200196553,14030,200105853,13889,204613810,14597,218220638,5774,74098803,9695,8641,0,0,5174,5875,5573,5892,NA,0.116184210526316,0.116184210526316,0.116184210526316,0.116184210526316,0.116184210526316,0.116184210526316,0.116184210526316,0.116184210526316,NA,25435266,21044067,0,0,12231201,15151338,15009652,16454447,NA,3163.78799926225,3240.69636089676,3363.41004920771,3348.73049245708,3682.75689016865,3163.78799926225,3163.78799926225,3163.78799926225,379.789064901531,497.830738322451,477.463523091508,381.637853303277,307.09757301522,379.789064901531,379.789064901531,379.789064901531,0.0417853556571101,0.0492214967353089,0.0455284185815539,0.034289925437836,0.0338955162484574,0.0417853556571101,0.0417853556571101,0.0417853556571101
"7","CT",10677,29729016,14804,48920681,39049,154328333,98037,372873255,101719,382676522,75846,286933630,75758,288088648,74640,282636955,70683,270319872,11607,36970297,8311,28967534,13757,57293433,38163,168087000,84988,405050026,11188,88149,425483046,11590,90021,524662066,13520,89848,533199509,13572,90001,538684944,13563,86664,525526743,13526,8738,31791426,9572,133007011,8891,124934381,5761,78503501,9340,130694751,1234,20298032,2031,33924595,1686,31685544,1706,27548562,0.469282353577416,0.521112882190987,0.510593282595281,0.525897215044502,0.520991144777553,0.469282353577416,0.469282353577416,0.469282353577416,48783,205677001,51476,244371270,39154,183781470,50210,232916108,35172,183871951,51135,280191041,42129,227568387,35525,200251318,2,6562,29,568694,927,10842203,2992,52664534,3038,53820570,2892,53513436,2947,54510545,3031,57912717,3147,62667100,16,320990,1215,8855763,1484,10924303,6410,76693873,13768,183264554,13966,193973885,11541,178995288,11711,188588547,12657,203504917,14280,225315281,1316,9686620,8248,6557,0,0,5635,4959,5528,6119,NA,0.0878815789473684,0.0878815789473684,0.0878815789473684,0.0878815789473684,0.0878815789473684,0.0878815789473684,0.0878815789473684,0.0878815789473684,NA,19258751,14316178,0,0,11843554,12035453,13045909,13797789,NA,2839.25055432373,3322.89928995798,3211.19238341512,3188.90186620729,3199.93510615598,2839.25055432373,2839.25055432373,2839.25055432373,787.368773998161,1096.3798869729,917.00884487673,823.258914728682,676.859756748106,787.368773998161,787.368773998161,787.368773998161,0.0655994808285112,0.0814954354441385,0.0636772354617848,0.0570485213896067,0.0489971193854689,0.0655994808285112,0.0655994808285112,0.0655994808285112
"8","DC",8521,42805712,14349,85901004,45702,241591895,126732,517617196,114749,431843408,51664,195005447,46215,173025871,45273,173833114,43765,173845175,9523,50159940,5413,46309720,13335,118172589,47138,344994507,91414,722284771,34678,81131,610091898,33350,84965,943485681,35338,78549,886751638,33921,76747,866586449,32161,74740,857016476,31265,6297,60182568,3613,69833716,2814,56255925,2037,39904390,3179,62927446,3533,75297090,6898,171301210,5971,153627961,5826,132438620,0.491567003986507,0.566501985856825,0.53617677286742,0.540705492914037,0.535564853556485,0.491567003986507,0.491567003986507,0.491567003986507,48618,279634442,56716,303825151,59134,350232359,55982,332688062,43843,327718194,55483,442635112,58151,519286691,50387,416794989,237,2270212,1186,12957413,3631,81643054,11225,279409383,11372,299179660,10810,296037089,10711,305581422,10607,312032670,10985,325017652,496,5689139,1688,26970581,1725,29218866,3431,56825050,5740,101751711,5228,110948431,4570,103830333,4573,106586493,4593,106776571,4812,112937587,1564,26298514,5442,4995,0,0,3542,4509,4720,4784,NA,0.09595,0.09595,0.09595,0.09595,0.09595,0.09595,0.09595,0.09595,NA,14457314,13840095,0,0,9717314,13403818,12538154,16032967,NA,3619.99264029439,3491.49607672188,3334.52065775951,2930.97093203683,3059.60230635779,3619.99264029439,3619.99264029439,3619.99264029439,949.966472452213,806.785430591882,846.051387461459,744.126305989449,624.99642820696,949.966472452213,949.966472452213,949.966472452213,0.0547889195543289,0.1065581710743,0.110277492291881,0.0676528395572566,0.0358199816307787,0.0547889195543289,0.0547889195543289,0.0547889195543289
"9","DE",4720,16506138,5786,22779127,13235,55725935,26194,83364111,26975,88397336,18781,68152373,19071,70292093,18815,71140735,17959,67107533,5286,20644923,4535,16835452,6984,29055589,15665,77579382,23006,100829807,3131,23651,103732045,3123,24283,130274162,3736,24375,130788579,3825,24370,131310736,3656,23651,123532950,3536,4695,18983354,1187,15872292,878,11984988,914,13356943,1050,14541049,20,172650,13,98767,9,71531,11,72165,0.485870734330693,0.515693361232642,0.50444483179362,0.534976411257524,0.524271844660194,0.485870734330693,0.485870734330693,0.485870734330693,8427,31093806,9433,40395787,5595,21258762,8599,35074143,7325,34614340,10189,54984506,5661,23967740,7544,37953882,2,35371,31,261496,74,910485,109,1313700,96,1259269,87,1170621,103,1461111,104,1687971,107,1851734,30,217817,1462,18116548,1439,19495784,1924,28267010,3313,51445821,3485,57388236,2746,48782062,2857,51913673,2967,54029856,3539,60773089,1311,16588044,1395,1494,0,0,871,2021,1051,1837,NA,0.112529411764706,0.112529411764706,0.112529411764706,0.112529411764706,0.112529411764706,0.112529411764706,0.112529411764706,0.112529411764706,NA,3086306,3465900,0,0,1559579,1663338,1661981,2565424,NA,2299.17150679574,2997.49381776679,2885.69400383476,3140.08776639011,2878.68863304408,2299.17150679574,2299.17150679574,2299.17150679574,1313.11958541117,915.17814342781,703.836848527105,549.880022775338,473.358707792766,1313.11958541117,1313.11958541117,1313.11958541117,0.117629803461426,0.0797032528057828,0.0481087676485968,0.037416625996421,0.0341094595755649,0.117629803461426,0.117629803461426,0.117629803461426
"10","FL",29216,120102367,75666,294861380,210559,821825698,523680,2196481672,546819,2309423164,444871,1640110512,412915,1531629867,371359,1377609349,341599,1279962486,35906,152170639,24160,128023198,68434,359253629,195163,1011455803,451606,2562891910,65856,473887,2665749153,66553,460406,3177888911,72067,433608,3082205236,70943,397508,2849620980,69697,373306,2688957088,68012,29621,163270646,18670,243250406,16829,232591926,14411,217746157,18450,239019865,5033,74817124,11055,193766989,11297,235650368,8405,134572512,0.376602747895497,0.407978872783046,0.480400671947243,0.469749045143694,0.452939900643442,0.376602747895497,0.376602747895497,0.376602747895497,264867,1098691809,308506,1401082163,276925,1201811853,284025,1287402758,212425,1134728517,285586,1754169438,256216,1489877730,228271,1310585796,753,7135307,1758,16765701,6871,73858258,18490,361893887,19286,398184188,19272,432871453,19261,436349680,20003,450825570,20425,465731348,957,9167511,1869,14820966,4543,33449005,11923,104582906,30035,398283945,27018,387172976,20501,318619575,20930,332451475,22095,336951803,27851,403273055,2396,18401381,15668,14183,0,0,7634,8100,8325,9398,NA,0.137974193548387,0.137974193548387,0.137974193548387,0.137974193548387,0.137974193548387,0.137974193548387,0.137974193548387,0.137974193548387,NA,36477625,32220667,0,0,15940220,17348680,20289397,23241368,NA,2458.48385783425,2629.11652373031,3016.564066425,2928.99107794345,2990.04148807618,2458.48385783425,2458.48385783425,2458.48385783425,584.797055990091,293.712346892485,291.304154943129,304.65794254256,278.206645115314,584.797055990091,584.797055990091,584.797055990091,0.0559671537032365,0.0467261454710419,0.0387721880412114,0.0459387784884335,0.0502669820187352,0.0559671537032365,0.0559671537032365,0.0559671537032365
