"id","state","hbcu","degree","public","nonprofit","forprofit","fouryear","twoyear","lessthan2yr","pub4yr","nonprof4yr","twoyrlesspub","schools","netprice_2014","netprice_2013","netprice_2012","netprice_2011","netprice_2010","netprice_2008","netprice_2007","netprice_2006","netpriceinc_2014","netpriceinc_2013","netpriceinc_2012","netpriceinc_2011","netpriceinc_2010","netpriceinc_2008","netpriceinc_2007","netpriceinc_2006","gradtot_2015","gradtot_2014","gradtot_2013","gradtot_2012","gradtot_2011","gradtot_2010","gradtot_2009","gradtot_2008","gradtot_2007","gradtot_2006","gradbach_2015","gradbach_2014","gradbach_2013","gradbach_2012","gradbach_2011","gradbach_2010","gradbach_2009","gradbach_2008","gradbach_2007","gradbach_2006","endowment_2015","endowment_2014","endowment_2013","endowment_2012","endowment_2011","endowment_2010","endowment_2009","endowment_2008","endowment_2007","endowment_2006","transfer_2015","transfer_2014","transfer_2013","transfer_2012","transfer_2011","transfer_2010","transfer_2009","transfer_2008","transfer_2007","transfer_2006","fedaidperc_2014","fedaidperc_2013","fedaidperc_2012","fedaidperc_2011","fedaidperc_2010","fedaidperc_2008","fedaidperc_2007","fedaidperc_2006","avetotaid_2014","avetotaid_2013","avetotaid_2012","avetotaid_2011","avetotaid_2010","avetotaid_2008","avetotaid_2007","avetotaid_2006","avefedaid_2014","avefedaid_2013","avefedaid_2012","avefedaid_2011","avefedaid_2010","avefedaid_2008","avefedaid_2007","avefedaid_2006","percpell_2014","percpell_2013","percpell_2012","percpell_2011","percpell_2010","percpell_2008","percpell_2007","percpell_2006","tuitionfee_in_2014","tuitionfee_out_2014","tuitionfeeprog_2014","tuitionfee_in_2013","tuitionfee_out_2013","tuitionfeeprog_2013","tuitionfee_in_2012","tuitionfee_out_2012","tuitionfeeprog_2012","tuitionfee_in_2011","tuitionfee_out_2011","tuitionfeeprog_2011","tuitionfee_in_2010","tuitionfee_out_2010","tuitionfeeprog_2010","tuitionfee_in_2009","tuitionfee_out_2009","tuitionfeeprog_2009","tuitionfee_in_2008","tuitionfee_out_2008","tuitionfeeprog_2008","tuitionfee_in_2007","tuitionfee_out_2007","tuitionfeeprog_2007","tuitionfee_in_2006","tuitionfee_out_2006","tuitionfeeprog_2006","cost_2014","cost_2013","cost_2012","cost_2011","cost_2010","cost_2009","cost_2008","cost_2007","cost_2006","inexpfte_2014","inexpfte_2013","inexpfte_2012","inexpfte_2011","inexpfte_2010","inexpfte_2009","inexpfte_2008","inexpfte_2007","inexpfte_2006","tuitfte_2014","tuitfte_2013","tuitfte_2012","tuitfte_2011","tuitfte_2010","tuitfte_2009","tuitfte_2008","tuitfte_2007","tuitfte_2006","retrate_2015","retrate_2014","retrate_2013","retrate_2012","retrate_2011","retrate_2010","retrate_2009","retrate_2008","retrate_2007","retrate_2006"
"1","AK",0,10,6,3,2,7,3,1,3,2,2,11,8900.5,6900.2,8918.75,9761.2,10898.4,8900.5,8900.5,8900.5,8957.5,7653,8528,10180.4,10830.8,8957.5,8957.5,8957.5,0.363657678780774,0.397699919764643,0.398494353826851,0.35424588086185,0.350433526011561,0.297509829619921,0.270676691729323,0.219868173258004,0.225413826679649,0.231562661165549,0.320472930927194,0.329442282749676,0.318557919621749,0.305572565829761,0.30698889614631,0.309993634627626,0.319222761970854,0.263799283154122,0.261287934863064,0.272885789014821,1596395,1596395,1596395,1596395,1596395,1596395,1493815,1051292,1051292,1051292,0.122860492379836,0.0628510296870821,0.0910915934755333,0.130544993662864,0.157514450867052,0.181301878549585,0.130639097744361,0.130414312617702,0.126582278481013,0.184631253223311,0.290383576445165,0.459123916608105,0.359375,0.445497630331754,0.448749386954389,0.290383576445165,0.290383576445165,0.290383576445165,2002.62560777958,3956.16678379012,3619.81923491379,3271.04938887503,2786.59514467876,2002.62560777958,2002.62560777958,2002.62560777958,1039.9981091302,2009.85125322089,1453.38658405172,1920.31603891245,2089.14639529181,1039.9981091302,1039.9981091302,1039.9981091302,0.281739600216099,0.454673225579761,0.355064655172414,0.43926166126216,0.444090240313879,0.281739600216099,0.281739600216099,0.281739600216099,9504.625,13600.625,7805,9504.625,13600.625,7805,9504.625,13600.625,7805,9504.625,13600.625,7805,9504.625,13600.625,7805,9504.625,13600.625,7805,9504.625,13600.625,7805,9504.625,13600.625,7805,8114,12539,5302.5,20571.8888888889,20571.8888888889,20571.8888888889,20571.8888888889,20571.8888888889,20571.8888888889,20571.8888888889,20571.8888888889,NA,14633.7,14633.7,14633.7,14633.7,14633.7,14633.7,14633.7,14633.7,14633.7,8154.2,8154.2,8154.2,8154.2,8154.2,8154.2,8154.2,8154.2,8154.2,0.741454020221473,0.7616,0.756857275685728,0.733458646616541,0.748798602009611,0.734985700667302,0.755030181086519,0.726243229935992,0.69329618516931,0.694220499569337
"2","AL",15,79,41,22,31,46,34,14,14,20,26,94,7064.79487179487,8603.69230769231,8322.41025641026,7954.51282051282,6787.25641025641,7064.79487179487,7064.79487179487,7064.79487179487,6283.1052631579,8229.07894736842,7984.84210526316,7440.52631578947,5751.84210526316,6283.1052631579,6283.1052631579,6283.1052631579,0.377961817935641,0.361096398305085,0.356139173360469,0.36178503808727,0.363778641821339,0.361815271826114,0.372451340683272,0.357811585722645,0.35618479880775,0.365868717200348,0.490277777777778,0.492563395596288,0.482470649937467,0.483010824591466,0.472494049193335,0.471325588870012,0.472919605077574,0.464592373742037,0.470180446528698,0.481377836572708,7880459,7880459,7396484,7396484,7396484,7029949,7029949,7029949,6927891,6478543,0.182267454980367,0.171654307909605,0.182822006192219,0.181718110166879,0.195559142151468,0.172259796582167,0.15761535320539,0.168173839033991,0.171554705733487,0.194370387000814,0.424002968719303,0.494998678064687,0.511216210352757,0.533946790228197,0.551728438688756,0.424002968719303,0.424002968719303,0.424002968719303,3601.2229595512,5973.02165770688,5564.47056015967,5406.15869390241,5305.63317188767,3601.2229595512,3601.2229595512,3601.2229595512,1620.40612516644,2256.13239182163,2307.40031240509,2436.67286649699,2715.93801317896,1620.40612516644,1620.40612516644,1620.40612516644,0.416341053458776,0.487816162862431,0.503514557209181,0.52056820901042,0.539859064169456,0.416341053458776,0.416341053458776,0.416341053458776,10355.5342465753,13191.4383561644,14743.7857142857,10355.5342465753,13191.4383561644,14743.7857142857,10355.5342465753,13191.4383561644,14743.7857142857,10355.5342465753,13191.4383561644,14743.7857142857,10355.5342465753,13191.4383561644,14743.7857142857,10355.5342465753,13191.4383561644,14743.7857142857,10355.5342465753,13191.4383561644,14743.7857142857,10355.5342465753,13191.4383561644,14743.7857142857,6592.75409836066,8718.68852459016,7018,19435.632183908,19435.632183908,19435.632183908,19435.632183908,19435.632183908,19435.632183908,19435.632183908,19435.632183908,NA,6244.56043956044,6244.56043956044,6244.56043956044,6244.56043956044,6244.56043956044,6244.56043956044,6244.56043956044,6244.56043956044,6244.56043956044,8585.68131868132,8585.68131868132,8585.68131868132,8585.68131868132,8585.68131868132,8585.68131868132,8585.68131868132,8585.68131868132,8585.68131868132,0.701446141370455,0.692215871266901,0.674021109976166,0.66233295583239,0.670367300645612,0.668710468568478,0.688747892448309,0.670223247542835,0.678153969166188,0.674909607641904
"3","AR",4,52,37,16,36,28,27,34,11,12,24,89,7632.35294117647,7700.05882352941,7599.85294117647,8309.08823529412,7199.82352941176,7632.35294117647,7632.35294117647,7632.35294117647,7102.29411764706,7119.29411764706,7150.17647058824,7950.70588235294,6922.47058823529,7102.29411764706,7102.29411764706,7102.29411764706,0.370130389568834,0.367564556559106,0.356045671102349,0.36835527412098,0.365087126600284,0.353669724770642,0.359129440899133,0.360136008811838,0.368472521024839,0.371332488546642,0.442574129224395,0.443565871700038,0.433046683046683,0.447156785993879,0.434528954191876,0.425796250282358,0.427816091954023,0.431157694140067,0.446771523178808,0.442797817767283,7598124,7598124,7598124,7598124,7490284,7051415,7051415,7051415,7051415,7051415,0.122910167186625,0.137150360084351,0.152702480696566,0.140309948341943,0.142425320056899,0.178532110091743,0.193494618535099,0.184904937502993,0.195286524545277,0.185593137732722,0.466119966119966,0.540503889800871,0.549095054866752,0.567304675243175,0.572673006177553,0.466119966119966,0.466119966119966,0.466119966119966,4553.44348194348,6231.03475840411,6636.98411001853,6367.46560680542,6661.75001735268,4553.44348194348,4553.44348194348,4553.44348194348,1742.82936782937,2409.59902933409,2365.07239561066,2437.50064498135,2683.05525091969,1742.82936782937,1742.82936782937,1742.82936782937,0.455262955262955,0.535079580329741,0.54257517457603,0.559530035212495,0.565766641216076,0.455262955262955,0.455262955262955,0.455262955262955,8325.94230769231,10497.9038461538,13583.3928571429,8325.94230769231,10497.9038461538,13583.3928571429,8325.94230769231,10497.9038461538,13583.3928571429,8325.94230769231,10497.9038461538,13583.3928571429,8325.94230769231,10497.9038461538,13583.3928571429,8325.94230769231,10497.9038461538,13583.3928571429,8325.94230769231,10497.9038461538,13583.3928571429,8325.94230769231,10497.9038461538,13583.3928571429,5524.60416666667,7330.16666666667,7416.36363636364,17836.925,17836.925,17836.925,17836.925,17836.925,17836.925,17836.925,17836.925,NA,6042.96385542169,6042.96385542169,6042.96385542169,6042.96385542169,6042.96385542169,6042.96385542169,6042.96385542169,6042.96385542169,6042.96385542169,5891.39759036145,5891.39759036145,5891.39759036145,5891.39759036145,5891.39759036145,5891.39759036145,5891.39759036145,5891.39759036145,5891.39759036145,0.679895034315705,0.667206829769574,0.65176146578434,0.647031735676734,0.639333638304361,0.657139416322107,0.667790533908071,0.649583516001754,0.637523851395911,0.646380036933567
"4","AZ",0,88,35,13,93,54,39,48,10,13,23,141,8332.69565217391,9011.87096774194,9316.32258064516,8733.03846153846,8646.03703703704,8332.69565217391,8332.69565217391,8332.69565217391,7158.13043478261,8093.54838709677,7764.90322580645,7788.96153846154,7556.2962962963,7158.13043478261,7158.13043478261,7158.13043478261,0.254501586989754,0.259422048335975,0.432985640481663,0.452621314672479,0.478053267916594,0.316517050506209,0.48784494086728,0.49384914655196,0.522592921476595,0.503131307903318,0.508141822596174,0.524492825333993,0.560904036243822,0.558345483017442,0.559071967563915,0.546592738329458,0.540678070014101,0.554110543427775,0.542513863216266,0.544857162620184,8277243,8277243,7687579,7108744,7108744,7108744,7108744,6562869,8280548,8003179,0.0278659438752018,0.0306742769413629,0.0952914137544935,0.0677220756376429,0.0541221307166637,0.0256689706599363,0.0363830486202365,0.0325488369544371,0.0309526829887099,0.030588478857202,0.421428816290151,0.55464138545495,0.513239725588254,0.546212776473496,0.558939926186135,0.421428816290151,0.421428816290151,0.421428816290151,3111.12743820918,4873.14887515314,4534.16945566455,4459.10306746571,4344.54445877244,3111.12743820918,3111.12743820918,3111.12743820918,1626.43810633849,2523.87257768126,2154.09835224723,2356.58630915606,2469.03658084693,1626.43810633849,1626.43810633849,1626.43810633849,0.406705289499846,0.552762000222742,0.505097134064243,0.543170023477079,0.554419197533609,0.406705289499846,0.406705289499846,0.406705289499846,10504.7142857143,13812.8412698413,17215.7213114754,10504.7142857143,13812.8412698413,17215.7213114754,10504.7142857143,13812.8412698413,17215.7213114754,10504.7142857143,13812.8412698413,17215.7213114754,10504.7142857143,13812.8412698413,17215.7213114754,10504.7142857143,13812.8412698413,17215.7213114754,10504.7142857143,13812.8412698413,17215.7213114754,10504.7142857143,13812.8412698413,17215.7213114754,7799.54,11044.3,14584,20998.0655737705,20998.0655737705,20998.0655737705,20998.0655737705,20998.0655737705,20998.0655737705,20998.0655737705,20998.0655737705,NA,6186.11278195489,6186.11278195489,6186.11278195489,6186.11278195489,6186.11278195489,6186.11278195489,6186.11278195489,6186.11278195489,6186.11278195489,11320.984962406,11320.984962406,11320.984962406,11320.984962406,11320.984962406,11320.984962406,11320.984962406,11320.984962406,11320.984962406,0.687123851757998,0.705707716690105,0.695305681870378,0.675414123801221,0.680349587589213,0.69148720718288,0.711185048478074,0.72221022512552,0.642995516869007,0.669674942110971
"5","CA",0,500,183,181,415,284,251,246,35,154,127,779,7695.5,8375.37341772152,8544.14649681529,8162.49032258064,7786.44155844156,7695.5,7695.5,7695.5,5850.18055555556,6436.06329113924,6962.33974358974,6562.7012987013,6144.99350649351,5850.18055555556,5850.18055555556,5850.18055555556,0.523248286441802,0.516149790038021,0.51440267827716,0.506402569022492,0.499599655902594,0.505015450630034,0.504508020764217,0.445542570694285,0.479059203023377,0.562475072645433,0.663435519780784,0.654143360869601,0.650489450215041,0.654662526258106,0.660809175115247,0.660143723475187,0.661496504085587,0.650113758959186,0.64309618313821,0.645962514916817,63669298,61506674,61579655,59270470,58270216,54646238,53615132,50539740,50534893,51734777,0.0614134550119861,0.05797671665061,0.0698052004371281,0.0730332587144228,0.070493647432504,0.0782738524104584,0.0905463833920959,0.148085214596988,0.178267570753029,0.12916642926329,0.433879467733488,0.509690806062918,0.515700683458737,0.545484784521215,0.533174682625406,0.433879467733488,0.433879467733488,0.433879467733488,3772.01480392128,6079.66740793812,5900.1287934237,5502.07436916927,5109.48021695923,3772.01480392128,3772.01480392128,3772.01480392128,1723.22760400176,2285.71639078342,2238.71523420091,2299.8987531048,2459.10518366307,1723.22760400176,1723.22760400176,1723.22760400176,0.42282461066841,0.50582316798948,0.508465975075389,0.540091208938103,0.520432864699047,0.42282461066841,0.42282461066841,0.42282461066841,13901.3033033033,17093.8258258258,18029.4397394137,13901.3033033033,17093.8258258258,18029.4397394137,13901.3033033033,17093.8258258258,18029.4397394137,13901.3033033033,17093.8258258258,18029.4397394137,13901.3033033033,17093.8258258258,18029.4397394137,13901.3033033033,17093.8258258258,18029.4397394137,13901.3033033033,17093.8258258258,18029.4397394137,13901.3033033033,17093.8258258258,18029.4397394137,9974.59090909091,12949.1223776224,12855.0274725275,23793.6235864297,23793.6235864297,23793.6235864297,23793.6235864297,23793.6235864297,23793.6235864297,23793.6235864297,23793.6235864297,NA,6667.08615819209,6667.08615819209,6667.08615819209,6667.08615819209,6667.08615819209,6667.08615819209,6667.08615819209,6667.08615819209,6667.08615819209,11018.1751412429,11018.1751412429,11018.1751412429,11018.1751412429,11018.1751412429,11018.1751412429,11018.1751412429,11018.1751412429,11018.1751412429,0.786669979455763,0.786461322378953,0.786428959057745,0.779891595687653,0.768901477721036,0.766634497509064,0.702971691469884,0.757975570788022,0.761989967463378,0.756790379910446
"6","CO",0,92,34,20,77,58,57,16,15,15,17,131,11421.2142857143,11637.2666666667,11759.2,11932.9666666667,11406.4333333333,11421.2142857143,11421.2142857143,11421.2142857143,9285.42857142857,10100.3666666667,10235.9333333333,10547.2,9927.23333333333,9285.42857142857,9285.42857142857,9285.42857142857,0.489948915278976,0.478153143448098,0.471314577341435,0.484592684098552,0.484442459431294,0.495643858903527,0.492072404481164,0.494958006797562,0.48196785030123,0.486874531233258,0.562381961842359,0.542962232671015,0.557625424745153,0.542458237798886,0.529914172074524,0.547937197260732,0.549729541092305,0.548310157058638,0.545555658541107,0.552653022096535,9325418,8704686,8704686,7680301,7203326,6940860,6940860,6486022,6476297,6476297,0.11459784603817,0.122010600249925,0.117228553510802,0.128474366893144,0.133591385042926,0.122157883552911,0.133392155289966,0.127693042330272,0.0941447569338405,0.119093539054966,0.359776215750968,0.416236701520479,0.424202067626744,0.43282902722386,0.464438502673797,0.359776215750968,0.359776215750968,0.359776215750968,3134.10744512982,4644.74192959226,4363.18202338495,4236.58217010577,3965.59506375977,3134.10744512982,3134.10744512982,3134.10744512982,1341.96442404246,1847.80567097393,1863.08236648458,1923.3838650945,2083.73169477581,1341.96442404246,1341.96442404246,1341.96442404246,0.353894706641802,0.412698050317337,0.417362647284547,0.428190567019247,0.454751131221719,0.353894706641802,0.353894706641802,0.353894706641802,12245.2142857143,15974.7,15761.2391304348,12245.2142857143,15974.7,15761.2391304348,12245.2142857143,15974.7,15761.2391304348,12245.2142857143,15974.7,15761.2391304348,12245.2142857143,15974.7,15761.2391304348,12245.2142857143,15974.7,15761.2391304348,12245.2142857143,15974.7,15761.2391304348,12245.2142857143,15974.7,15761.2391304348,9474.26666666667,12980.8666666667,14040.8,21995.0535714286,21995.0535714286,21995.0535714286,21995.0535714286,21995.0535714286,21995.0535714286,21995.0535714286,21995.0535714286,NA,5673.79527559055,5673.79527559055,5673.79527559055,5673.79527559055,5673.79527559055,5673.79527559055,5673.79527559055,5673.79527559055,5673.79527559055,10866.1102362205,10866.1102362205,10866.1102362205,10866.1102362205,10866.1102362205,10866.1102362205,10866.1102362205,10866.1102362205,10866.1102362205,0.740787221905305,0.71539168453591,0.719967847441654,0.705658993898447,0.707100743399128,0.682720226525568,0.674133016627078,0.658091527310569,0.63290178796273,0.626751111225302
"7","CT",0,45,33,23,40,34,16,46,10,20,23,96,7799.3,8895.28571428571,8976.53333333333,8358.53333333333,8557.1,7799.3,7799.3,7799.3,6284.95,7868.96428571429,8009.72413793103,7592.63333333333,7859.33333333333,6284.95,6284.95,6284.95,0.543898502308472,0.525660225736932,0.521908973650267,0.513067548621347,0.51789851281668,0.535446663266507,0.527663717563392,0.513411116373186,0.50757340203438,0.518009586852317,0.685727714240953,0.667194362169339,0.682930854282414,0.663788863996503,0.670915087483929,0.672302137658318,0.669520647678956,0.650312168688892,0.640063264188819,0.628906012984649,10163783,10293469,10775040,10293469,10422195,10293469,5688547,5430330,5430330,5430330,0.107841297248602,0.104138510428462,0.0906578220011056,0.094438652622497,0.105522756146775,0.108909725764055,0.0974897345807052,0.0991518491410858,0.0942122329320837,0.0902077151335312,0.338407874100914,0.427503260397044,0.421292351091652,0.423858742463394,0.41699562573349,0.338407874100914,0.338407874100914,0.338407874100914,5426.71396895787,8416.95171714244,7694.05018953307,7368.43692219351,7045.84436679825,5426.71396895787,5426.71396895787,5426.71396895787,1217.57811908496,1867.43657440951,1772.44797390614,1786.65592879701,1901.93457270884,1217.57811908496,1217.57811908496,1217.57811908496,0.322697528527392,0.425532531517171,0.418706473509447,0.419695664656905,0.405686546463245,0.322697528527392,0.322697528527392,0.322697528527392,18405.6590909091,23405.8636363636,16692.1,18405.6590909091,23405.8636363636,16692.1,18405.6590909091,23405.8636363636,16692.1,18405.6590909091,23405.8636363636,16692.1,18405.6590909091,23405.8636363636,16692.1,18405.6590909091,23405.8636363636,16692.1,18405.6590909091,23405.8636363636,16692.1,18405.6590909091,23405.8636363636,16692.1,13101.1276595745,16274.2340425532,14536.9444444444,24495.0487804878,24495.0487804878,24495.0487804878,24495.0487804878,24495.0487804878,24495.0487804878,24495.0487804878,24495.0487804878,NA,10217.5604395604,10217.5604395604,10217.5604395604,10217.5604395604,10217.5604395604,10217.5604395604,10217.5604395604,10217.5604395604,10217.5604395604,10977.9120879121,10977.9120879121,10977.9120879121,10977.9120879121,10977.9120879121,10977.9120879121,10977.9120879121,10977.9120879121,10977.9120879121,0.780433632998414,0.784765922135399,0.771050109529025,0.753874624103632,0.750469222204549,0.761157784195327,0.756104834167191,0.763950952704394,0.753039870315334,0.7649835242429
"8","DC",2,20,2,14,8,18,3,3,2,12,0,24,7881,16046,14830,18963,16084,7881,7881,7881,7448,15629,14969,18555,14207,7448,7448,7448,0.742576467961599,0.736364667195827,0.731150793650794,0.72747484203136,0.735832821143208,0.782356495468278,0.727318611987382,0.725438596491228,0.729064642507346,0.737760807309423,0.759512587653753,0.742704955998147,0.737291326722731,0.733538607295121,0.73784250802271,0.788520376942847,0.736269363717834,0.732446134347275,0.735874829256178,0.744111942366307,2841762,2841762,2358477,2358477,2358477,2358477,2722198,1810581,1810581,1810581,0.0193123465059165,0.00612314321351627,0.00930059523809524,0.00538263515094781,0.0034419176398279,0.0135347432024169,0.00794952681388013,0.00802005012531328,0.00685602350636631,0.00654575207963998,0.242154758254114,0.358810423326552,0.298150051387461,0.339505534291921,0.319420349015206,0.242154758254114,0.242154758254114,0.242154758254114,10409.5680261678,14666.9635764797,14036.2393627955,13420.9595531189,13543.3448311052,10409.5680261678,10409.5680261678,10409.5680261678,958.170602064806,1798.20594788337,1532.92302158273,1579.29419675184,1487.69476477192,958.170602064806,958.170602064806,958.170602064806,0.223551057957682,0.351351351351351,0.292702980472765,0.333609185890142,0.304827023165629,0.223551057957682,0.223551057957682,0.223551057957682,22009.8571428571,22437.1428571429,24101.5,22009.8571428571,22437.1428571429,24101.5,22009.8571428571,22437.1428571429,24101.5,22009.8571428571,22437.1428571429,24101.5,22009.8571428571,22437.1428571429,24101.5,22009.8571428571,22437.1428571429,24101.5,22009.8571428571,22437.1428571429,24101.5,22009.8571428571,22437.1428571429,24101.5,19151.5,19415.5,9765,34681.2941176471,34681.2941176471,34681.2941176471,34681.2941176471,34681.2941176471,34681.2941176471,34681.2941176471,34681.2941176471,NA,42752.7916666667,42752.7916666667,42752.7916666667,42752.7916666667,42752.7916666667,42752.7916666667,42752.7916666667,42752.7916666667,42752.7916666667,67184.1666666667,67184.1666666667,67184.1666666667,67184.1666666667,67184.1666666667,67184.1666666667,67184.1666666667,67184.1666666667,67184.1666666667,0.87954816987075,0.859591228443687,0.848216239877435,0.871720116618076,0.876138853650098,0.88169207841339,0.872574026838195,0.844325065721797,0.814323536272452,0.836416415338216
"9","DE",1,12,6,6,8,7,6,7,2,4,3,20,7653.8,9642.6,8058.8,8270.4,7887.2,7653.8,7653.8,7653.8,6637.4,8913,6578,7934.8,6777.2,6637.4,6637.4,6637.4,0.527753303964758,0.503579053120683,0.514987405541562,0.49980343336391,0.484266600594648,0.478801075957474,0.462393278221981,0.495781204538842,0.516958339786278,0.511604608448823,0.665867158671587,0.670094936708861,0.664561806352851,0.676422431436758,0.643320610687023,0.652979066022544,0.646336386344713,0.674389480275517,0.661525459539404,0.660245996750986,1480227,1742034,1742034,1742034,1742034,1742034,1742034,1742034,1742034,1742034,0.0388923851478918,0.0444556071832224,0.0348866498740554,0.0411479491547635,0.0553766105054509,0.0562315870372742,0.0578669196368072,0.00683735816118708,0.0117701719064581,0.0030055101018534,0.310354942798475,0.413258512459578,0.399947707861252,0.422889214250854,0.436635449780909,0.310354942798475,0.310354942798475,0.310354942798475,2847.80747042143,5322.1733878638,4746.63552379292,4298.94167886774,3506.74791648767,2847.80747042143,2847.80747042143,2847.80747042143,1081.57895766109,1653.22503328895,1577.32238103538,1635.86277859118,1663.96125096658,1081.57895766109,1081.57895766109,1081.57895766109,0.306052605847267,0.412307399657599,0.399337632909186,0.42061168049455,0.429590170976888,0.306052605847267,0.306052605847267,0.306052605847267,12415.7272727273,16139.5454545455,14095.7142857143,12415.7272727273,16139.5454545455,14095.7142857143,12415.7272727273,16139.5454545455,14095.7142857143,12415.7272727273,16139.5454545455,14095.7142857143,12415.7272727273,16139.5454545455,14095.7142857143,12415.7272727273,16139.5454545455,14095.7142857143,12415.7272727273,16139.5454545455,14095.7142857143,12415.7272727273,16139.5454545455,14095.7142857143,8568.4,11202,11673.75,22497.0625,22497.0625,22497.0625,22497.0625,22497.0625,22497.0625,22497.0625,22497.0625,NA,7104.73684210526,7104.73684210526,7104.73684210526,7104.73684210526,7104.73684210526,7104.73684210526,7104.73684210526,7104.73684210526,7104.73684210526,10452.8421052632,10452.8421052632,10452.8421052632,10452.8421052632,10452.8421052632,10452.8421052632,10452.8421052632,10452.8421052632,10452.8421052632,0.787529440932193,0.756487516910589,0.750855745721271,0.740515591579421,0.731410096990798,0.729835366575862,0.741274842462433,0.72692075015124,0.729800594500867,0.729955290611028
"10","FL",4,237,89,83,254,170,125,131,39,73,50,426,7824.86956521739,9044.54651162791,9178.78048780488,8635.81481481482,8047.69135802469,7824.86956521739,7824.86956521739,7824.86956521739,5756.30434782609,7988.5243902439,7990.33333333333,7543.07594936709,6593.975,5756.30434782609,5756.30434782609,5756.30434782609,0.50007913015445,0.510180962616551,0.516592757742062,0.528821295717261,0.517470145953118,0.504717994938815,0.475271269988829,0.487337749958649,0.502336996733618,0.510052838022956,0.587542001398625,0.600686040640072,0.619375672766415,0.607203836233516,0.589281680596341,0.584833595639323,0.568429591816545,0.583239351088748,0.576316255982982,0.575966095515859,38881745,33789813,31844799,31844799,31021276,29360906,27889743,24274161,23928891,23479385,0.0608071275753935,0.0608533999477155,0.0597927283418267,0.0596153722173153,0.0688064699564036,0.0667799077893715,0.0689795248771571,0.0787418711749906,0.068386479706928,0.0661794110389776,0.44255338670092,0.575100991553434,0.575731886809135,0.58953507681624,0.587350113092963,0.44255338670092,0.44255338670092,0.44255338670092,3732.91884189279,4827.39224687304,4543.11564045622,4493.16811509604,4726.33957840596,3732.91884189279,3732.91884189279,3732.91884189279,1651.21714223456,2523.55387656348,2476.00012481992,2503.87532772077,2724.03551842021,1651.21714223456,1651.21714223456,1651.21714223456,0.431130582379522,0.566530211056145,0.57064027418776,0.581498684084722,0.574672340249734,0.431130582379522,0.431130582379522,0.431130582379522,14149.9682539683,16636.9047619048,14569.8829787234,14149.9682539683,16636.9047619048,14569.8829787234,14149.9682539683,16636.9047619048,14569.8829787234,14149.9682539683,16636.9047619048,14569.8829787234,14149.9682539683,16636.9047619048,14569.8829787234,14149.9682539683,16636.9047619048,14569.8829787234,14149.9682539683,16636.9047619048,14569.8829787234,14149.9682539683,16636.9047619048,14569.8829787234,10190.6879432624,12497.1985815603,10472.7981651376,22601.6918767507,22601.6918767507,22601.6918767507,22601.6918767507,22601.6918767507,22601.6918767507,22601.6918767507,22601.6918767507,NA,5945.16624685139,5945.16624685139,5945.16624685139,5945.16624685139,5945.16624685139,5945.16624685139,5945.16624685139,5945.16624685139,5945.16624685139,10575.1863979849,10575.1863979849,10575.1863979849,10575.1863979849,10575.1863979849,10575.1863979849,10575.1863979849,10575.1863979849,10575.1863979849,0.766107866021868,0.760420055872816,0.758608757771601,0.739393185516891,0.752525252525252,0.745169152773716,0.743336732292729,0.723400800513108,0.717535476294273,0.724511366299508
