"id","state","ugenroll_2006","gradenroll_2006","enroll_2006","ugenroll_2007","gradenroll_2007","enroll_2007","ugenroll_2008","gradenroll_2008","enroll_2008","ugenroll_2009","gradenroll_2009","enroll_2009","ugenroll_2010","gradenroll_2010","enroll_2010","ugenroll_2011","gradenroll_2011","enroll_2011","ugenroll_2012","gradenroll_2012","enroll_2012","ugenroll_2015","gradenroll_2015","enroll_2015","white_2006","white_2007","white_2008","white_2009","white_2010","white_2011","white_2012","white_2015","afam_2006","afam_2007","afam_2008","afam_2009","afam_2010","afam_2011","afam_2012","afam_2015","asia_2006","asia_2007","asia_2008","asia_2009","asia_2010","asia_2011","asia_2012","asia_2015","hisp_2006","hisp_2007","hisp_2008","hisp_2009","hisp_2010","hisp_2011","hisp_2012","hisp_2015","amin_2008","amin_2009","amin_2010","amin_2011","amin_2012","amin_2015","nhpi_2008","nhpi_2009","nhpi_2010","nhpi_2011","nhpi_2012","nhpi_2015","twoormore_2008","twoormore_2009","twoormore_2010","twoormore_2011","twoormore_2012","twoormore_2015","unk_2006","unk_2007","unk_2008","unk_2009","unk_2010","unk_2011","unk_2012","unk_2015","nonresident_2006","nonresident_2007","nonresident_2008","nonresident_2009","nonresident_2010","nonresident_2011","nonresident_2012","nonresident_2015","fem_2006","fem_2007","fem_2008","fem_2009","fem_2010","fem_2011","fem_2012","fem_2015","men_2006","men_2007","men_2008","men_2009","men_2010","men_2011","men_2012","men_2015","parttime_2006","parttime_2007","parttime_2008","parttime_2009","parttime_2010","parttime_2011","parttime_2012","parttime_2015","fulltime_2006","fulltime_2007","fulltime_2008","fulltime_2009","fulltime_2010","fulltime_2011","fulltime_2012","fulltime_2015"
"1","AK",25863,2390,30319,26357,2395,30615,26385,2596,31075,27653,2801,33080,29325,2874,34426,29048,2828,34824,27715,2779,33332,28142,2519,32301,0.655628483789043,0.645696553976809,0.0117779565567176,0.601178960096735,0.592052518445361,0.565213645761544,0.546531861274451,0.519519519519519,0.133447673076289,0.136305732484076,0.000386162510056315,0.0265114873035067,0.029512577702899,0.0304387778543533,0.0297011880475219,0.0285749667192966,0.0197895708961377,0.0204148293320268,0.000707964601769912,0.0347944377267231,0.0391564515192006,0.0399437169767976,0.0426917076683067,0.0507414631125971,0.0359510537946502,0.0388371713212478,0.000579243765084473,0.0250906892382104,0.0542613141230465,0.0644383184011027,0.0663626545061802,0.0777994489334696,0.00559935639581657,0.105441354292624,0.109975018881078,0.105645531817138,0.0986439457578303,0.0942076096715272,9.65406275140788e-05,0.00737605804111246,0.00749433567652356,0.00760969446358833,0.00723028921156846,0.00637751153215071,9.65406275140788e-05,0.0464631197097944,0.0511531981641782,0.0551631059039743,0.0648325933037321,0.0712052258444011,0.061347669778027,0.0677119059284664,0.0663234111021722,0.0867291414752116,0.0938825306454424,0.107655639788652,0.12267490699628,0.132906101978267,0.033906131468716,0.0322390984811367,0.0267739340305712,0.0178960096735187,0.0225120548422704,0.0238915690328509,0.0213308532341294,0.0186681526887712,0.0292555823081236,0.0256410256410256,0.603572003218021,0.600544135429262,0.595044443153431,0.597633815759246,0.584483379335173,0.587071607690164,0.597084336554636,0.603593009962437,0.396427996781979,0.399455864570738,0.404955556846569,0.402366184240753,0.415516620664827,0.412928392309836,15677,16262,16349,17128,18404,17706,16631,16138,12576,12490,12632,13326,13795,14170,13863,14523
"2","AL",131125,33395,259887,137268,34171,269306,171200,38692,312542,159138,43787,314095,167783,45391,328704,162682,44322,320339,161413,44352,311828,160611,44846,304476,0.633648470296706,0.631352439232694,0.165609742050668,0.298591190563365,0.58683800623053,0.589257005859418,0.590575573713714,0.602339757484991,0.00719543493903119,0.00766414413343928,0.0897191417473492,0.152141867906207,0.289585767133956,0.291007339100141,0.28204971971728,0.266828912623655,0.00664134797046409,0.00668755987612604,0.00304599061886083,0.00679730654738216,0.014301620911215,0.0148124330787072,0.0155855150916531,0.0182247533467334,0.0153720655515666,0.0166464913518451,0.00462337861791375,0.0096690491730209,0.0211923189252336,0.023106771264192,0.0246001000551586,0.031352224805896,0.00170217122818693,0.00405609767745427,0.00768776771806854,0.00718613718591867,0.00722834383057326,0.00670003547077602,0.000403145817202168,0.000474378770754071,0.000745351440809969,0.000924021115131158,0.000875482637864464,0.000952456022806395,0.00132142240082933,0.00317738263901049,0.00637655763239875,0.00938068733435517,0.0108200674730941,0.0187568149870597,0.0234294135528133,0.0253763376976376,0.0768184755968798,0.0426622518664735,0.0541368526090343,0.0448181457768177,0.0475967520556204,0.0279168144615668,0.282707484406684,0.28112630242178,0.0187366817899674,0.0201181171301676,0.0191357573987539,0.0195074592853196,0.020668445425042,0.026928230796516,0.0232139352872595,0.0233897499498712,0.575231488887893,0.58042948789379,0.581787869937695,0.58139658299489,0.57668650666393,0.569072767640142,0.587551512772859,0.588516408843472,0.424768511112107,0.41957051210621,0.418212130062305,0.41860341700511,0.42331349333607,0.430927232359858,48328,50375,63163,59470,61251,53740,56902,50153,120685,125635,150936,143455,151923,153264,148863,155304
"3","AR",69825,13121,149652,71569,13521,154493,72880,14336,160337,75542,17048,170112,78329,18612,178574,80789,19248,182400,81973,18844,179831,90421,19763,171577,0.729920081255179,0.726421261804742,0.0488783000804555,0.602056292325056,0.696299573286145,0.688075657894737,0.685949586000189,0.674630049482157,0.0108986181273889,0.0111720272115889,0.00786468500720358,0.137291901805869,0.190498056827982,0.192253289473684,0.185691009892621,0.169661434807696,0.0065418437441531,0.00710064533668192,0.000411632997997967,0.0113983728367193,0.015041383404079,0.0148629385964912,0.0153310608293342,0.0158937386712671,0.0214631277898057,0.0244477096049659,0.00120995153956978,0.0251598946576373,0.0347866990715334,0.038218201754386,0.0426900812429448,0.0569598489308007,0.000455291043240175,0.00877069224981189,0.00931826581697224,0.00964364035087719,0.00868037212716384,0.00818874324647243,1.24737272120596e-05,0.00210449586155004,0.000985585807564371,0.00115679824561404,0.000995378994722823,0.0010782330965106,0.000392922407179877,0.00949374529721595,0.0147109881617705,0.0164802631578947,0.0221430120502027,0.0300681326751255,0.0190575468420068,0.0162661091441036,0.0187979069085738,0.02824609668924,0.0137142025154838,0.013218201754386,0.0114273957215386,0.00968078472056278,0.184915671023441,0.185891917433152,0.0227707890256148,0.0236256113619263,0.0246452451084704,0.0260910087719298,0.0270921031412826,0.0338390343694085,0.0192179189051934,0.0204410555818063,0.599774225537462,0.593473711437171,0.594414640429178,0.59594298245614,0.59304013212405,0.58293360998269,0.602698259963114,0.600875120555624,0.400225774462538,0.406526288562829,0.405585359570822,0.40405701754386,0.40695986787595,0.41706639001731,21631,23029,24241,25710,27849,29153,29230,33188,63281,64049,64936,66880,69092,70884,71587,76996
"4","AZ",109607,34816,389582,116266,40801,394691,114216,50087,402992,129640,58974,453659,141018,60089,484251,149430,58783,486659,148308,55949,478818,183295,68569,659126,0.561268231078438,0.571533174052613,0.0907611069202366,0.197077540619717,0.510518305589457,0.512523142487861,0.509690529595796,0.42724152893377,0.0367727461741046,0.0369630926471594,0.00604230356930162,0.0193427221767892,0.0705460597913066,0.0809540150290039,0.0860890776871379,0.106419713378019,0.0157887171378554,0.0169778383596282,0.00575197522531465,0.0090596681648551,0.0314052010217842,0.0333683338847119,0.0346624395908257,0.0308635981587739,0.171281014009888,0.167916167330899,0.0206679040775003,0.0613676792480696,0.189030069117049,0.200756587261306,0.210213484037776,0.195819919104997,0.00574453090880216,0.0151303071249551,0.0333463431154505,0.0332429894443543,0.0315756717583717,0.0210809465868438,0.000387104458649303,0.00075166589883591,0.0023087200645946,0.00288292212822531,0.00336662364405682,0.00405233597218134,0.002779211497995,0.00490897348008085,0.015202859674012,0.0202174417816171,0.0231779089340835,0.0397708480624342,0.13152301697717,0.113681335525766,0.125893317981498,0.148369149515385,0.125073567220305,0.0920130933569501,0.0758263056109002,0.144004333010684,0.0402662340662556,0.0466795543855826,0.0249409417556676,0.0222105149462482,0.0225688744060415,0.0240414746259701,0.0253979591410515,0.0307467767922977,0.0245083191728571,0.0264612063614321,0.568594413784889,0.572509307651783,0.572306510466679,0.573750819362223,0.575135019986717,0.605809814815377,0.570421631389541,0.567302016007459,0.431405586215111,0.427490692348218,0.427693489533321,0.426249180637777,0.424864980013283,0.394190185184623,49563,59552,55026,63209,78018,72553,76908,98230,97784,100460,109807,125405,123089,135660,127349,153634
"5","CA",645151,203385,2447302,675394,213475,2552233,700894,217696,2690764,730559,239491,2813551,747509,239616,2818590,787184,237273,2791101,810311,234424,2726776,837321,237901,2740921,0.377448308382047,0.369878455454498,0.00879044018724793,0.215992175013,0.341259991697977,0.330510791261226,0.321859588026299,0.283205170816671,0.00823110511085269,0.00817558584972453,0.00215403506216078,0.0529338192199111,0.0742793382506856,0.0755777021325993,0.0745396761596846,0.0655414731033839,0.0772348488253595,0.0771790820038766,0.00264683190350399,0.0813598189618742,0.145159813949528,0.143981532735648,0.143469063832159,0.14146011504892,0.245044134316075,0.249619450888692,0.00584815316393411,0.186446238223512,0.284983626565056,0.305368741582623,0.321713261375339,0.368594352044441,0.000165380538761482,0.0050114606061877,0.00602641746405117,0.0053591754651659,0.00479100593521433,0.00410664882351589,0.000213693954579443,0.0046418209586391,0.0059771020261904,0.00596502957076795,0.00572470932705877,0.00486004521837733,0.000325186452620891,0.0078630172333823,0.0224548444434983,0.0303783345711961,0.0354741276877895,0.0425634303214139,0.101307480646034,0.103383586059737,0.107917305270919,0.130293710688024,0.0877963804597334,0.0687621121557407,0.0554119590314716,0.0386618220663784,0.0684819446067547,0.0693522103977184,0.0324655005046894,0.0318487207091679,0.0320624851432809,0.034096580525033,0.0370166086249842,0.0510069425568997,0.029837756026841,0.0309881582128277,0.556179211554785,0.554540863129902,0.551511571388531,0.55405841637404,0.552043878925148,0.547619212666107,0.559956637962949,0.558142614722088,0.443820788445215,0.445459136870098,0.448488428611469,0.44594158362596,0.447956121074852,0.452380787333893,187361,192289,181743,181853,169520,169659,166472,169456,682529,718230,754016,788197,817605,854798,878263,905766
"6","CO",115544,43416,312955,116313,39079,317580,119801,43483,330807,117576,48994,357825,150312,51832,378583,173432,53064,374437,175749,53759,371738,185141,54872,361588,0.693029349267467,0.690374078972227,0.00876644085524188,0.0498791308600573,0.623929230842378,0.617238681006418,0.613789819711732,0.60535747867739,0.013605789969804,0.0138484791233705,0.00141774509003739,0.00701739677216516,0.0750931763972497,0.0726290403993195,0.0685536587596641,0.0678036881754926,0.0170567653496509,0.0176963284841615,0.000299268153334119,0.0024984280025152,0.0316495986349096,0.0315139796547884,0.0302767002566324,0.0336156067126121,0.108689747727309,0.109134706215757,0.00298058989078224,0.0121623698735415,0.120861211412029,0.125436321731026,0.13453561379251,0.14824883569145,0.000145099710707452,0.000869139942709425,0.0111573948117058,0.010639974147854,0.00992903604151311,0.00934488976404084,2.72061957576472e-05,0.000170474393907636,0.00257011012116233,0.00260658001212487,0.00237801892730902,0.00259687821498501,8.46414979126802e-05,0.00100048906588416,0.0168074107923494,0.0232428953335274,0.029811318724478,0.0378635352943129,0.077563867009634,0.0746142704200516,0.0809505240215594,0.0932103681967442,0.0970011860014845,0.0943309555412526,0.0865259941141341,0.0635198070732436,0.0526848907989967,0.058873354745261,0.0212147868696853,0.0201998183469573,0.0209306809867321,0.0223615721736901,0.0241998396720271,0.0316492803964733,0.016769184067997,0.0150135398954594,0.557037789405907,0.560701460210997,0.558915746348885,0.556803948327756,0.551178518203681,0.548259344889764,0.558182486299947,0.551889287738523,0.442962210594093,0.439298539789003,0.441084253651115,0.443196051672244,0.448821481796319,0.451740655110236,53830,49804,52053,51739,66982,71522,77060,83086,108977,109474,113370,114831,135162,154974,152448,156927
"7","CT",85977,29747,185633,85773,29899,187606,88092,30632,195240,89713,34811,205623,92368,35496,214189,94562,35389,215569,95480,34349,214882,98279,36349,210386,0.654032418804846,0.644393036470049,0.00515263265724237,0.02163668461213,0.578124927050409,0.576052215299974,0.575883508157966,0.550839884783208,0.00359849811186589,0.00347536859162287,0.00190022536365499,0.00694961166795543,0.107377129544468,0.109398846772959,0.117985685166743,0.122817107602217,0.017970942666444,0.01797916910973,0.000189510346240524,0.000530096341362591,0.0380411692477205,0.0393609470749505,0.0410969741532562,0.0467996919947145,0.081170912499394,0.0847947293796574,0.00215119852489244,0.00737271608720814,0.104963373469226,0.112094039495475,0.121285170465651,0.136030914604584,2.04876049989756e-05,0.000213983844219761,0.00263785721955843,0.00274622046769248,0.0027363855511397,0.00233855864933978,4.09752099979512e-05,1.45898075604383e-05,0.000863723160386388,0.00100199935983374,0.00126115728632459,0.00110273497285941,6.14628149969269e-05,0.000505779995428527,0.0161959764507048,0.0171777945808535,0.0190476633687326,0.0246736950177293,0.0834657630916917,0.0836647015553874,0.0939254251178037,0.120200561221264,0.115253351012424,0.105752682435786,0.0822916763619103,0.0608453033947126,0.10014383218501,0.101947698900888,0.0412364269616882,0.038205842731601,0.0365424928451041,0.0364152545124763,0.0384117794882773,0.0545521089806356,0.0377034255762715,0.0414538980629617,0.572300758041385,0.570631690034675,0.572204921821382,0.573932244432177,0.574063904840796,0.566606142994306,0.577968356919298,0.571927337078771,0.427699241958615,0.429368309965325,0.427795078178618,0.426067755567823,0.425936095159204,0.433393857005694,27601,25994,26586,26958,27952,28413,28768,28688,90930,92511,93714,97566,99912,101538,101061,105940
"8","DC",63412,33646,107705,66425,36612,113853,74860,40560,124962,82413,51547,136420,49236,39834,91858,47593,39870,90392,46818,40468,90626,49356,41875,95086,0.403806694211039,0.397011936444362,0.0011203405835374,0.050974930362117,0.408750462670644,0.411574033100274,0.41931675236687,0.400111478030415,0.00362100181050091,0.0038821989758724,0.00244874441830316,0.020840052778185,0.265268131246054,0.259823878219311,0.252554454571536,0.256599289064636,0.023898611949306,0.0237323566353104,8.00243273955282e-05,0.00561501246151591,0.0569248187419713,0.0558124612797593,0.0587359036038223,0.061260332751404,0.0415393900004642,0.042159626887302,0.000432131367935853,0.00645066705761619,0.0505562934093928,0.0550933710947872,0.0611965661068568,0.0715247249858023,0,0.000535112153643161,0.00306995580134556,0.00272147977697141,0.00423719462405932,0.00308142102938393,0,9.529394516933e-05,0.00109952317707766,0.00115054429595539,0.00178756648202503,0.00151441852638664,0,0.00263157894736842,0.0102331860044852,0.0161408089211435,0.0189570321982654,0.0263130218959679,0.137932315120004,0.139038936172082,0.148461132184184,0.151363436446269,0.132225826819656,0.113848570669971,0.093427934588308,0.0725133037460825,0.298723364746298,0.30606132469061,0.0465901634096765,0.0452059815276352,0.0718718021293736,0.0838348526418267,0.089786595458257,0.107082009969922,0.0610370920570076,0.0592606255434639,0.610441574238568,0.618479695059376,0.589529491171155,0.583879104345517,0.588153510030234,0.596291777969417,0.598644445476069,0.604112320272632,0.389558425761431,0.381520304940625,0.410470508828845,0.416120895654483,0.411846489969766,0.403708222030583,43165,48767,58480,67777,28905,26261,26448,29517,63161,63329,64609,66183,60165,61202,60838,61714
"9","DE",28268,7765,51780,28084,8120,53174,28438,9512,54263,29698,9569,56801,30624,9410,58142,31623,9574,59038,32617,10312,60560,34357,12411,61768,0.629490150637312,0.618290894045962,0.00744522050015664,0.188535413108924,0.574730831412748,0.533893424574003,0.559461690885073,0.539405517420023,0.00339899575125531,0.00308421408959266,0.00674492748281518,0.0741712293797644,0.202899797048605,0.194230834377858,0.206423381770145,0.205559513016449,0.0130552336809579,0.0129762665964569,0.000276431454213737,0.00845055544796747,0.0317498538061986,0.0295233578373251,0.0330581241743725,0.030517420023313,0.0343955195056006,0.0373866927445744,0.00136372850745443,0.0173412439921832,0.0482095559148292,0.0487482638300755,0.0548051519154557,0.0612614946250486,1.84287636142491e-05,0.0010915300786958,0.00304427092291287,0.00245604525898574,0.00275759577278732,0.00446833311747183,1.84287636142491e-05,0.000299290505448848,0.00120394895256441,0.001253429994241,0.001221928665786,0.00148944437249061,0.000368575272284982,0.00450696290558265,0.0134498297272196,0.0161421457366442,0.0201783355350066,0.0232159046755602,0.10063731170336,0.106856734494302,0.114055618008588,0.106160102815091,0.0896425991537959,0.131135878586673,0.0737120211360634,0.0458489832923197,0.176129779837775,0.175499304171211,0.031070895453624,0.0316719776060281,0.0350693130611262,0.0426166198041939,0.0483817701453104,0.0882333894573242,0.0274623406720742,0.0283973370444202,0.610489652249231,0.60530624460837,0.604382374187334,0.604559775060131,0.605284015852048,0.601848853775418,0.610196987253766,0.611765148380788,0.389510347750769,0.39469375539163,0.395617625812666,0.395440224939869,0.394715984147952,0.398151146224582,9692,9728,9492,9938,10040,10467,11895,14111,27326,27410,28458,29329,29994,30730,31034,32657
"10","FL",341199,90343,915247,346159,94210,947971,373520,101168,1006145,385975,118970,1091005,409697,122321,1159382,419868,122652,1179523,431488,122434,1193535,405978,122078,1136653,0.533062659588068,0.526779827652956,0.0199494108702026,0.0553187198958758,0.478630856784045,0.462140204133366,0.446360601071607,0.431911937944122,0.00399017970012467,0.00400012236661248,0.0135835292129862,0.0435185906572381,0.185852462777583,0.186437229286754,0.185805192139317,0.176621185181405,0.0152843986377448,0.0158179944323191,0.000912393342907831,0.00207698406515094,0.0301557208926825,0.0291804398896842,0.0283837507907183,0.0311792605131029,0.184291235043655,0.189991044029828,0.015036600092432,0.0314746495203963,0.209253723104206,0.216734222223729,0.221930651384333,0.244190619300701,0.000185857903184929,0.00062694488109587,0.00397970642980484,0.00373032149436679,0.0036697708906735,0.00325341155128258,3.27984535032227e-05,0.000252061172955211,0.00143610992753036,0.00171001328503132,0.00194045419698626,0.00225750514888889,0.000399544797221076,0.00160952516257946,0.0127110822834924,0.0146203168568989,0.0205465277515951,0.0269185054717667,0.0456434164766451,0.0452207926191835,0.0512103126288954,0.0531326620867915,0.0521648602445096,0.0591942675132236,0.0646332114265606,0.0446064014259409,0.170304846669806,0.169892327929863,0.0292254098564322,0.0271886929940743,0.0258154775561463,0.0262529853169459,0.0267298403482093,0.0390611734627894,0.0296215120071412,0.029984039596148,0.582579051727137,0.581774602316213,0.581117353900613,0.579971734336677,0.580684269837081,0.572068168561558,0.584114452164279,0.577362598644895,0.417420948272863,0.418225397683787,0.418882646099387,0.420028265663323,0.419315730162919,0.427931831438442,139605,139518,159673,159166,171499,168101,169899,156966,307094,316903,327869,345779,360519,374419,384023,371090
